step,time,alive
0,0,7904
1,1,7891
2,2,7873
3,3,7851
4,4,7829
5,5,7809
6,6,7776
7,7,7752
8,8,7722
9,9,7691
10,10,7667
11,11,7645
12,12,7616
13,13,7595
14,14,7566
15,15,7543
16,16,7517
17,17,7486
18,18,7457
19,19,7428
20,20,7402
21,21,7369
22,22,7343
23,23,7311
24,24,7283
25,25,7256
26,26,7222
27,27,7191
28,28,7158
29,29,7130
30,30,7096
31,31,7069
32,32,7038
33,33,7003
34,34,6974
35,35,6946
36,36,6911
37,37,6879
38,38,6851
39,39,6824
40,40,6794
41,41,6760
42,42,6730
43,43,6702
44,44,6674
45,45,6647
46,46,6614
47,47,6585
48,48,6557
49,49,6523
50,50,6499
51,51,6469
52,52,6439
53,53,6412
54,54,6380
55,55,6354
56,56,6323
57,57,6292
58,58,6266
59,59,6235
60,60,6209
61,61,6181
62,62,6152
63,63,6127
64,64,6101
65,65,6077
66,66,6051
67,67,6030
68,68,6003
69,69,5979
70,70,5957
71,71,5931
72,72,5905
73,73,5882
74,74,5858
75,75,5831
76,76,5807
77,77,5784
78,78,5760
79,79,5733
80,80,5707
81,81,5683
82,82,5659
83,83,5636
84,84,5609
85,85,5589
86,86,5564
87,87,5541
88,88,5515
89,89,5494
90,90,5470
91,91,5447
92,92,5420
93,93,5401
94,94,5379
95,95,5354
96,96,5332
97,97,5310
98,98,5290
99,99,5265
100,100,5246
101,101,5222
102,102,5202
103,103,5176
104,104,5153
105,105,5133
106,106,5114
107,107,5094
108,108,5064
109,109,5042
110,110,5023
111,111,5002
112,112,4975
113,113,4955
114,114,4933
115,115,4908
116,116,4889
117,117,4865
118,118,4841
119,119,4820
120,120,4799
121,121,4777
122,122,4753
123,123,4731
124,124,4705
125,125,4684
126,126,4664
127,127,4642
128,128,4612
129,129,4592
130,130,4572
131,131,4548
132,132,4525
133,133,4501
134,134,4482
135,135,4459
136,136,4434
137,137,4414
138,138,4387
139,139,4370
140,140,4344
141,141,4323
142,142,4302
143,143,4278
144,144,4255
145,145,4233
146,146,4207
147,147,4183
148,148,4163
149,149,4140
150,150,4116
151,151,4095
152,152,4070
153,153,4046
154,154,4021
155,155,3995
156,156,3972
157,157,3951
158,158,3927
159,159,3907
160,160,3885
161,161,3865
162,162,3841
163,163,3822
164,164,3803
165,165,3780
166,166,3759
167,167,3742
168,168,3718
169,169,3695
170,170,3675
171,171,3658
172,172,3637
173,173,3617
174,174,3597
175,175,3580
176,176,3560
177,177,3542
178,178,3519
179,179,3498
180,180,3479
181,181,3458
182,182,3442
183,183,3417
184,184,3401
185,185,3381
186,186,3359
187,187,3343
188,188,3319
189,189,3303
190,190,3284
191,191,3265
192,192,3249
193,193,3228
194,194,3217
195,195,3195
196,196,3182
197,197,3165
198,198,3145
199,199,3131
200,200,3117
201,201,3101
202,202,3085
203,203,3069
204,204,3051
205,205,3037
206,206,3019
207,207,3003
208,208,2986
209,209,2973
210,210,2956
211,211,2943
212,212,2925
213,213,2908
214,214,2890
215,215,2878
216,216,2860
217,217,2845
218,218,2828
219,219,2814
220,220,2796
221,221,2783
222,222,2766
223,223,2750
224,224,2735
225,225,2720
226,226,2704
227,227,2689
228,228,2671
229,229,2659
230,230,2641
231,231,2628
232,232,2614
233,233,2594
234,234,2581
235,235,2564
236,236,2550
237,237,2536
238,238,2519
239,239,2502
240,240,2486
241,241,2471
242,242,2457
243,243,2439
244,244,2424
245,245,2409
246,246,2390
247,247,2374
248,248,2359
249,249,2343
250,250,2327
251,251,2310
252,252,2293
253,253,2281
254,254,2266
255,255,2248
256,256,2232
257,257,2216
258,258,2202
259,259,2188
260,260,2169
261,261,2153
262,262,2138
263,263,2121
264,264,2107
265,265,2091
266,266,2078
267,267,2067
268,268,2050
269,269,2038
270,270,2023
271,271,2008
272,272,1996
273,273,1980
274,274,1966
275,275,1953
276,276,1938
277,277,1923
278,278,1910
279,279,1897
280,280,1882
281,281,1867
282,282,1853
283,283,1838
284,284,1821
285,285,1807
286,286,1793
287,287,1779
288,288,1762
289,289,1752
290,290,1734
291,291,1721
292,292,1711
293,293,1692
294,294,1679
295,295,1662
296,296,1648
297,297,1636
298,298,1621
299,299,1608
300,300,1592
301,301,1578
302,302,1567
303,303,1552
304,304,1539
305,305,1525
306,306,1512
307,307,1498
308,308,1487
309,309,1475
310,310,1461
311,311,1449
312,312,1437
313,313,1426
314,314,1414
315,315,1401
316,316,1394
317,317,1379
318,318,1368
319,319,1356
320,320,1345
321,321,1333
322,322,1321
323,323,1311
324,324,1300
325,325,1289
326,326,1277
327,327,1267
328,328,1256
329,329,1247
330,330,1236
331,331,1226
332,332,1218
333,333,1209
334,334,1198
335,335,1188
336,336,1180
337,337,1169
338,338,1159
339,339,1150
340,340,1140
341,341,1129
342,342,1119
343,343,1111
344,344,1101
345,345,1090
346,346,1078
347,347,1069
348,348,1060
349,349,1049
350,350,1040
351,351,1031
352,352,1022
353,353,1012
354,354,1002
355,355,994
356,356,983
357,357,975
358,358,966
359,359,957
360,360,947
361,361,936
362,362,927
363,363,918
364,364,905
365,365,900
366,366,887
367,367,878
368,368,869
369,369,859
370,370,851
371,371,841
372,372,831
373,373,825
374,374,817
375,375,810
376,376,801
377,377,795
378,378,787
