ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,215.104,136.731,202.264,305.852,248.877,185.015,0,85.4567,129.647,2.51711
2,159.501,165.774,308.744,680.888,312.359,818.12,0,103.608,55.8921,1.53945
3,34.0001,33.6744,146.764,660.143,149.72,693.246,0,21.0465,12.9535,1.61547
4,5.1,3.13958,603.198,811.794,606.006,812.664,0,1.96224,3.13776,2.59907
5,268.707,207.054,485.858,439.588,615.565,539.627,0,129.408,139.299,2.07643
6,32.9001,39.4147,177.228,672.555,149.838,693.226,0,24.6342,8.26587,1.33554
7,63.2996,66.2581,562.248,782.831,611.082,755.253,0,41.4113,21.8883,1.52856
8,8.09999,7.59919,360.535,180.118,355.917,174.14,0,4.74949,3.3505,1.70544
9,17.7,21.1045,260.058,203.659,251.366,184.437,0,13.1903,4.50975,1.3419
10,109.299,94.107,365.973,200.914,350.074,174.772,0,58.8169,50.482,1.85829
11,137.199,153.827,527.329,177.611,648.39,190.905,0,96.1417,41.0575,1.42705
12,37.9,44.3435,599.321,320.547,630.353,334.086,0,27.7147,10.1853,1.36751
13,25.5001,31.8858,175.361,624.853,144.65,616.306,0,19.9286,5.57146,1.27957
14,65.1996,47.9852,115.22,399.661,67.6518,404.796,0,29.9907,35.2089,2.17399
15,327.011,171.878,503.955,200.292,356.218,173.33,0,107.424,219.587,3.04411
16,29.2001,29.0837,253.562,213.464,249.843,185.092,0,18.1773,11.0227,1.6064
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15.9,18.4128,404.915,96.4033,405.841,78.2466,0,11.508,4.39204,1.38165
19,123.299,95.3056,168.288,534.019,139.652,611.12,0,59.566,63.7327,2.06995
20,84.5993,83.6273,557.847,352.917,630.265,334.054,0,52.267,32.3322,1.6186
21,122.599,139.09,531.258,188.603,648.409,190.772,0,86.9314,35.6673,1.41029
22,150.2,156.017,320.564,305.96,251.681,184.297,0,97.5108,52.6891,1.54034
23,449.018,228.005,423.164,613.997,595.848,614.053,1,142.503,306.515,3.15093
24,122.799,108.022,558.957,376.819,630.325,333.953,0,67.5136,55.2851,1.81887
25,164.901,181.576,482.236,698.3,611.986,752.897,0,113.485,51.416,1.45307
26,148.1,113.771,257.389,632.895,144.782,616.079,0,71.1068,76.9931,2.08278
27,250.606,229.666,496.358,505.548,615.476,540.124,0,143.541,107.065,1.74588
28,6.2,6.00236,605.919,752.248,611.722,753.783,0,3.75147,2.44852,1.65268
29,29.9001,30.4785,572.31,832.479,602.467,833.251,0,19.0491,10.851,1.56964
30,252.506,133.945,510.94,653.921,613.201,612.811,0,83.7156,168.791,3.01624
31,49.9998,61.684,596.22,229.778,648.351,198.168,0,38.5525,11.4473,1.29693
32,348.812,223.701,393.289,338.21,349.672,174.702,0,139.813,208.999,2.49485
33,155.5,135.4,531.456,147.664,653.596,130.374,0,84.6251,70.8752,1.83752
34,264.607,144.262,277.441,644.519,144.833,615.766,0,90.1637,174.443,2.93474
35,169.001,135.348,298.569,295.744,251.371,184.518,0,84.5927,84.4084,1.99782
36,149.7,125.164,276.222,297.235,249.8,185.137,0,78.2276,71.4724,1.91365
37,108.999,88.1196,439.351,179,356.174,173.362,0,55.0748,53.9241,1.97911
38,299.209,205.902,476.17,399.089,630.341,334.101,0,128.688,170.521,2.32507
39,123.199,107.733,204.268,562.487,144.764,615.766,0,67.3331,55.8656,1.82969
40,116.199,107.859,546.922,123.811,653.604,129.704,0,67.4117,48.7871,1.72372
41,48.9998,58.6383,193.333,679.733,149.585,693.161,0,36.6489,12.3509,1.33701
42,290.909,186.714,498.021,539.339,613.177,612.635,0,116.696,174.212,2.49287
