step,time,alive
0,0,7904
1,1,7891
2,2,7872
3,3,7851
4,4,7826
5,5,7803
6,6,7773
7,7,7745
8,8,7716
9,9,7687
10,10,7660
11,11,7632
12,12,7612
13,13,7589
14,14,7560
15,15,7531
16,16,7507
17,17,7476
18,18,7445
19,19,7416
20,20,7383
21,21,7354
22,22,7322
23,23,7292
24,24,7266
25,25,7233
26,26,7200
27,27,7170
28,28,7138
29,29,7101
30,30,7067
31,31,7032
32,32,7004
33,33,6970
34,34,6938
35,35,6911
36,36,6878
37,37,6847
38,38,6813
39,39,6782
40,40,6753
41,41,6723
42,42,6693
43,43,6663
44,44,6630
45,45,6601
46,46,6567
47,47,6538
48,48,6507
49,49,6476
50,50,6444
51,51,6413
52,52,6379
53,53,6350
54,54,6321
55,55,6289
56,56,6257
57,57,6228
58,58,6203
59,59,6173
60,60,6142
61,61,6116
62,62,6088
63,63,6059
64,64,6037
65,65,6002
66,66,5977
67,67,5948
68,68,5921
69,69,5896
70,70,5868
71,71,5838
72,72,5817
73,73,5790
74,74,5768
75,75,5738
76,76,5715
77,77,5688
78,78,5664
79,79,5634
80,80,5606
81,81,5584
82,82,5557
83,83,5531
84,84,5506
85,85,5480
86,86,5457
87,87,5428
88,88,5402
89,89,5376
90,90,5352
91,91,5328
92,92,5303
93,93,5281
94,94,5255
95,95,5228
96,96,5208
97,97,5178
98,98,5157
99,99,5128
100,100,5105
101,101,5083
102,102,5056
103,103,5034
104,104,5004
105,105,4983
106,106,4960
107,107,4934
108,108,4911
109,109,4884
110,110,4863
111,111,4839
112,112,4812
113,113,4783
114,114,4756
115,115,4733
116,116,4707
117,117,4683
118,118,4657
119,119,4632
120,120,4606
121,121,4581
122,122,4559
123,123,4531
124,124,4508
125,125,4486
126,126,4460
127,127,4432
128,128,4405
129,129,4383
130,130,4355
131,131,4333
132,132,4306
133,133,4282
134,134,4254
135,135,4231
136,136,4206
137,137,4179
138,138,4152
139,139,4130
140,140,4106
141,141,4077
142,142,4053
143,143,4026
144,144,4006
145,145,3978
146,146,3961
147,147,3933
148,148,3907
149,149,3882
150,150,3862
151,151,3837
152,152,3814
153,153,3791
154,154,3768
155,155,3742
156,156,3721
157,157,3700
158,158,3675
159,159,3652
160,160,3630
161,161,3609
162,162,3585
163,163,3559
164,164,3536
165,165,3515
166,166,3496
167,167,3472
168,168,3451
169,169,3431
170,170,3407
171,171,3384
172,172,3360
173,173,3337
174,174,3313
175,175,3293
176,176,3272
177,177,3251
178,178,3228
179,179,3210
180,180,3186
181,181,3164
182,182,3143
183,183,3124
184,184,3107
185,185,3087
186,186,3070
187,187,3045
188,188,3028
189,189,3009
190,190,2992
191,191,2973
192,192,2957
193,193,2939
194,194,2923
195,195,2903
196,196,2886
197,197,2866
198,198,2853
199,199,2836
200,200,2817
201,201,2805
202,202,2785
203,203,2768
204,204,2750
205,205,2729
206,206,2717
207,207,2699
208,208,2682
209,209,2663
210,210,2646
211,211,2629
212,212,2611
213,213,2590
214,214,2577
215,215,2557
216,216,2541
217,217,2525
218,218,2505
219,219,2488
220,220,2470
221,221,2457
222,222,2436
223,223,2422
224,224,2405
225,225,2387
226,226,2369
227,227,2352
228,228,2334
229,229,2320
230,230,2302
231,231,2286
232,232,2266
233,233,2249
234,234,2231
235,235,2216
236,236,2197
237,237,2181
238,238,2162
239,239,2145
240,240,2126
241,241,2110
242,242,2094
243,243,2076
244,244,2058
245,245,2039
246,246,2022
247,247,2003
248,248,1987
249,249,1973
250,250,1953
251,251,1936
252,252,1921
253,253,1907
254,254,1893
255,255,1877
256,256,1861
257,257,1846
258,258,1830
259,259,1811
260,260,1798
261,261,1782
262,262,1767
263,263,1749
264,264,1736
265,265,1718
266,266,1706
267,267,1691
268,268,1678
269,269,1663
270,270,1649
271,271,1634
272,272,1616
273,273,1601
274,274,1589
275,275,1574
276,276,1559
277,277,1540
278,278,1529
279,279,1512
280,280,1497
281,281,1482
282,282,1468
283,283,1452
284,284,1438
285,285,1420
286,286,1406
287,287,1394
288,288,1381
289,289,1368
290,290,1354
291,291,1343
292,292,1326
293,293,1315
294,294,1304
295,295,1293
296,296,1276
297,297,1265
298,298,1250
299,299,1237
300,300,1226
301,301,1212
302,302,1197
303,303,1187
304,304,1172
305,305,1161
306,306,1148
307,307,1137
308,308,1124
309,309,1110
310,310,1097
311,311,1084
312,312,1072
313,313,1061
314,314,1046
315,315,1036
316,316,1022
317,317,1011
318,318,1000
319,319,988
320,320,976
321,321,965
322,322,952
323,323,940
324,324,930
325,325,921
326,326,909
327,327,900
328,328,888
329,329,879
330,330,866
331,331,857
332,332,845
333,333,835
334,334,825
335,335,815
336,336,805
337,337,794
338,338,783
339,339,774
340,340,764
341,341,752
342,342,744
343,343,733
344,344,724
345,345,715
346,346,705
347,347,696
348,348,688
349,349,679
350,350,669
351,351,661
352,352,652
353,353,643
354,354,634
355,355,626
356,356,619
357,357,612
358,358,606
359,359,599
360,360,592
361,361,584
362,362,578
363,363,570
364,364,563
365,365,556
366,366,548
367,367,541
368,368,535
369,369,530
370,370,524
371,371,516
372,372,510
373,373,508
374,374,503
375,375,498
376,376,495
377,377,489
378,378,486
379,379,481
380,380,477
381,381,475
382,382,470
383,383,465
384,384,462
385,385,457
386,386,452
387,387,449
388,388,444
389,389,442
390,390,436
391,391,433
392,392,428
393,393,424
394,394,420
395,395,417
396,396,413
397,397,409
398,398,405
399,399,401
400,399.3,399
