step,time,alive
0,0,7904
1,1,7891
2,2,7872
3,3,7851
4,4,7826
5,5,7803
6,6,7773
7,7,7745
8,8,7716
9,9,7687
10,10,7660
11,11,7632
12,12,7612
13,13,7589
14,14,7560
15,15,7531
16,16,7507
17,17,7476
18,18,7444
19,19,7415
20,20,7383
21,21,7354
22,22,7322
23,23,7292
24,24,7266
25,25,7234
26,26,7200
27,27,7170
28,28,7136
29,29,7100
30,30,7068
31,31,7031
32,32,7004
33,33,6970
34,34,6941
35,35,6912
36,36,6879
37,37,6848
38,38,6810
39,39,6783
40,40,6752
41,41,6722
42,42,6693
43,43,6663
44,44,6630
45,45,6600
46,46,6570
47,47,6536
48,48,6509
49,49,6474
50,50,6444
51,51,6410
52,52,6379
53,53,6352
54,54,6316
55,55,6288
56,56,6257
57,57,6227
58,58,6198
59,59,6172
60,60,6146
61,61,6114
62,62,6087
63,63,6063
64,64,6035
65,65,6004
66,66,5981
67,67,5952
68,68,5925
69,69,5897
70,70,5867
71,71,5841
72,72,5821
73,73,5792
74,74,5768
75,75,5738
76,76,5713
77,77,5688
78,78,5661
79,79,5637
80,80,5608
81,81,5584
82,82,5559
83,83,5531
84,84,5506
85,85,5477
86,86,5454
87,87,5427
88,88,5402
89,89,5377
90,90,5350
91,91,5324
92,92,5301
93,93,5273
94,94,5252
95,95,5227
96,96,5200
97,97,5177
98,98,5155
99,99,5128
100,100,5103
101,101,5079
102,102,5053
103,103,5031
104,104,5007
105,105,4979
106,106,4958
107,107,4927
108,108,4906
109,109,4882
110,110,4857
111,111,4834
112,112,4806
113,113,4780
114,114,4757
115,115,4731
116,116,4706
117,117,4680
118,118,4654
119,119,4632
120,120,4604
121,121,4581
122,122,4556
123,123,4534
124,124,4503
125,125,4479
126,126,4453
127,127,4427
128,128,4406
129,129,4377
130,130,4353
131,131,4331
132,132,4304
133,133,4279
134,134,4254
135,135,4232
136,136,4204
137,137,4176
138,138,4153
139,139,4129
140,140,4098
141,141,4077
142,142,4051
143,143,4027
144,144,4005
145,145,3982
146,146,3958
147,147,3932
148,148,3908
149,149,3886
150,150,3865
151,151,3841
152,152,3819
153,153,3798
154,154,3772
155,155,3752
156,156,3727
157,157,3706
158,158,3682
159,159,3658
160,160,3634
161,161,3613
162,162,3586
163,163,3563
164,164,3539
165,165,3518
166,166,3497
167,167,3477
168,168,3451
169,169,3429
170,170,3407
171,171,3386
172,172,3364
173,173,3342
174,174,3321
175,175,3300
176,176,3279
177,177,3255
178,178,3234
179,179,3211
180,180,3191
181,181,3169
182,182,3149
183,183,3130
184,184,3109
185,185,3090
186,186,3071
187,187,3053
188,188,3030
189,189,3012
190,190,2989
191,191,2973
192,192,2957
193,193,2937
194,194,2919
195,195,2901
196,196,2884
197,197,2865
198,198,2850
199,199,2833
200,200,2817
201,201,2800
202,202,2782
203,203,2766
204,204,2750
205,205,2733
206,206,2716
207,207,2697
208,208,2679
209,209,2662
210,210,2645
211,211,2630
212,212,2611
213,213,2593
214,214,2578
215,215,2559
216,216,2545
217,217,2524
218,218,2505
219,219,2491
220,220,2472
221,221,2458
222,222,2439
223,223,2421
224,224,2406
225,225,2387
226,226,2372
227,227,2355
228,228,2341
229,229,2322
230,230,2307
231,231,2285
232,232,2272
233,233,2255
234,234,2238
235,235,2222
236,236,2205
237,237,2188
238,238,2172
239,239,2152
240,240,2135
241,241,2116
242,242,2099
243,243,2081
244,244,2067
245,245,2050
246,246,2032
247,247,2013
248,248,1997
249,249,1978
250,250,1959
251,251,1945
252,252,1927
253,253,1912
254,254,1897
255,255,1881
256,256,1863
257,257,1848
258,258,1832
259,259,1813
260,260,1800
261,261,1780
262,262,1768
263,263,1751
264,264,1735
265,265,1719
266,266,1705
267,267,1688
268,268,1673
269,269,1657
270,270,1644
271,271,1628
272,272,1614
273,273,1600
274,274,1582
275,275,1569
276,276,1553
277,277,1541
278,278,1525
279,279,1507
280,280,1496
281,281,1479
282,282,1466
283,283,1450
284,284,1436
285,285,1419
286,286,1406
287,287,1392
288,288,1377
289,289,1362
290,290,1350
291,291,1337
292,292,1324
293,293,1309
294,294,1298
295,295,1282
296,296,1273
297,297,1259
298,298,1243
299,299,1232
300,300,1220
301,301,1207
302,302,1192
303,303,1179
304,304,1167
305,305,1155
306,306,1139
307,307,1128
308,308,1116
309,309,1100
310,310,1086
311,311,1073
312,312,1061
313,313,1049
314,314,1036
315,315,1022
316,316,1012
317,317,999
318,318,987
319,319,974
320,320,962
321,321,950
322,322,939
323,323,930
324,324,918
325,325,907
326,326,899
327,327,888
328,328,878
329,329,866
330,330,860
331,331,847
332,332,836
333,333,824
334,334,814
335,335,803
336,336,794
337,337,783
338,338,773
339,339,762
340,340,753
341,341,744
342,342,736
343,343,728
344,344,719
345,345,710
346,346,703
347,347,696
348,348,684
349,349,677
350,350,668
351,351,660
352,352,651
353,353,642
354,354,633
355,355,625
356,356,617
357,357,608
358,358,601
359,359,591
360,360,583
361,361,575
362,362,569
363,363,562
364,364,555
365,365,548
366,366,541
367,367,535
368,368,529
369,369,523
370,370,520
371,371,516
372,372,510
373,373,506
374,374,503
375,375,498
376,376,494
377,377,491
378,378,487
379,379,483
380,380,478
381,381,475
382,382,469
383,383,465
384,384,463
385,385,458
386,386,453
387,387,450
388,388,445
389,389,442
390,390,438
391,391,433
392,392,429
393,393,425
394,394,421
395,395,416
396,396,412
397,397,410
398,398,405
399,399,403
400,399.5,399
