ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,188.202,140.244,202.264,305.852,248.423,184.824,0,87.6522,100.55,2.14715
2,164.201,166.406,308.744,680.888,312.366,818.081,0,104.004,60.1969,1.57879
3,33.6001,33.4319,146.764,660.143,150.045,693.261,0,20.8949,12.7051,1.60805
4,4.8,3.13173,603.198,811.794,605.97,812.749,0,1.95733,2.84267,2.45232
5,205.203,207.674,485.858,439.588,615.514,539.88,0,129.797,75.4068,1.58096
6,31.7001,39.2666,177.228,672.555,149.858,693.189,0,24.5416,7.15848,1.29169
7,58.3997,67.5367,562.248,782.831,611.077,755.17,0,42.2104,16.1893,1.38354
8,7.7,7.61976,360.535,180.118,355.818,174.209,0,4.76235,2.93764,1.61685
9,18.7,21.3607,260.058,203.659,252.282,184.137,0,13.3504,5.34962,1.40071
10,96.9991,94.8461,365.973,200.914,349.876,174.785,0,59.2788,37.7203,1.63632
11,130.399,152.578,527.329,177.611,648,191.152,0,95.3613,35.0374,1.36742
12,36.5,44.138,599.321,320.547,630.269,334.137,0,27.5862,8.91379,1.32312
13,24.8001,31.9488,175.361,624.853,144.813,615.84,0,19.968,4.83205,1.24199
14,60.3997,48.478,115.22,399.661,67.6772,405.564,0,30.2987,30.1009,1.99347
15,319.71,169.833,503.955,200.292,356.063,173.545,0,106.145,213.565,3.01201
16,29.1001,29.0107,253.562,213.464,249.899,185.077,0,18.1317,10.9684,1.60493
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15.8,18.5785,404.915,96.4033,405.863,78.1854,0,11.6116,4.18847,1.36072
19,107.999,94.9178,168.288,534.019,139.854,611.124,0,59.3237,48.6753,1.8205
20,84.9993,83.8882,557.847,352.917,630.345,334.052,0,52.4301,32.5692,1.62119
21,116.099,138.737,531.258,188.603,647.98,191.078,0,86.7106,29.3882,1.33892
22,200.303,155.344,320.564,305.96,250.852,184.682,0,97.0897,103.213,2.06307
23,400.315,244.649,423.164,613.997,611.721,612.781,1,152.906,247.409,2.61805
24,118.599,106.992,558.957,376.819,630.438,334.374,0,66.8703,51.7285,1.77356
25,162.401,185.234,482.236,698.3,612.121,752.717,0,115.771,46.6297,1.40277
26,135.499,115.568,257.389,632.895,144.697,616.304,0,72.2299,63.2692,1.87594
27,217.404,230.313,496.358,505.548,615.462,539.998,0,143.946,73.4582,1.51032
28,6,5.86444,605.919,752.248,611.551,753.882,0,3.66528,2.33472,1.63698
29,28.4001,30.4927,572.31,832.479,602.473,833.343,0,19.0579,9.34216,1.4902
30,205.303,133.069,510.94,653.921,613.198,612.776,0,83.1678,122.136,2.46854
31,49.2998,61.6699,596.22,229.778,648.001,197.904,0,38.5437,10.7562,1.27906
32,295.109,221.215,393.289,338.21,349.675,174.587,0,138.259,156.849,2.13446
33,153.5,135.065,531.456,147.664,653.504,130.048,0,84.4154,69.0848,1.81839
34,171.601,142.847,277.441,644.519,144.822,616.034,0,89.2793,82.3219,1.92207
35,176.802,134.205,298.569,295.744,250.429,184.946,0,83.8783,92.9233,2.10783
36,149.8,124.298,276.222,297.235,250.489,184.83,0,77.6863,72.1136,1.92827
37,101.099,88.0638,439.351,179,355.791,174.232,0,55.0399,46.0591,1.83683
38,239.605,204.299,476.17,399.089,630.342,334.091,0,127.687,111.918,1.8765
39,109.599,107.331,204.268,562.487,144.707,615.747,0,67.0818,42.5171,1.63381
