ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,196.403,136.53,202.264,305.852,248.479,184.81,0,85.3312,111.072,2.30165
2,158.4,167.706,308.744,680.888,312.166,818.167,0,104.816,53.5842,1.51122
3,33.6001,33.4301,146.764,660.143,150.047,693.258,0,20.8938,12.7062,1.60813
4,4.8,3.13173,603.198,811.794,605.97,812.749,0,1.95733,2.84267,2.45232
5,225.005,204.904,485.858,439.588,615.474,539.826,0,128.065,96.9394,1.75695
6,31.7001,39.2776,177.228,672.555,149.845,693.204,0,24.5485,7.15155,1.29132
7,58.3997,67.5286,562.248,782.831,611.069,755.165,0,42.2054,16.1943,1.3837
8,7.7,7.61976,360.535,180.118,355.818,174.209,0,4.76235,2.93764,1.61685
9,18.7,21.3571,260.058,203.659,252.277,184.144,0,13.3482,5.35186,1.40094
10,96.8991,95.0966,365.973,200.914,349.679,174.664,0,59.4354,37.4637,1.63033
11,130.499,152.318,527.329,177.611,647.921,191.341,0,95.199,35.2998,1.3708
12,36.5,44.1384,599.321,320.547,630.269,334.137,0,27.5865,8.91353,1.32311
13,24.8001,31.9374,175.361,624.853,144.825,615.835,0,19.9609,4.83921,1.24243
14,60.4996,48.5926,115.22,399.661,67.6976,405.578,0,30.3704,30.1292,1.99206
15,259.107,168.576,503.955,200.292,356.111,173.625,0,105.36,153.746,2.45924
16,29.1001,29.0208,253.562,213.464,249.896,185.063,0,18.138,10.9621,1.60437
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15.8,18.5785,404.915,96.4033,405.863,78.1853,0,11.6116,4.18843,1.36071
19,108.199,95.928,168.288,534.019,139.862,611.1,0,59.955,48.2439,1.80467
20,84.6993,84.138,557.847,352.917,630.303,333.882,0,52.5863,32.113,1.61067
21,114.699,138.439,531.258,188.603,647.677,191.81,0,86.5244,28.1744,1.32562
22,151.4,155.572,320.564,305.96,250.94,184.653,0,97.2323,54.1677,1.5571
23,399.415,228.095,423.164,613.997,567.293,617.253,1,142.56,256.855,2.80174
24,117.399,106.893,558.957,376.819,630.256,334.117,0,66.8084,50.5904,1.75725
25,163.901,186.504,482.236,698.3,612.302,752.339,0,116.565,47.3355,1.40609
26,141.199,115.108,257.389,632.895,144.818,615.823,0,71.9425,69.2569,1.96267
27,257.607,226.949,496.358,505.548,615.471,539.813,0,141.843,115.763,1.81614
28,6,5.86444,605.919,752.248,611.551,753.882,0,3.66528,2.33472,1.63698
29,28.4001,30.4924,572.31,832.479,602.472,833.337,0,19.0577,9.34235,1.49021
30,197.103,129.608,510.94,653.921,613.205,612.777,0,81.0048,116.098,2.43322
31,49.3998,61.6777,596.22,229.778,648.02,197.903,0,38.5486,10.8512,1.2815
32,273.007,222.22,393.289,338.21,349.885,174.65,0,138.887,134.12,1.96568
33,150.1,134.512,531.456,147.664,653.473,130.05,0,84.0698,66.0301,1.78542
34,172.801,143.337,277.441,644.519,144.675,615.677,0,89.5858,83.2156,1.92889
35,175.402,133.813,298.569,295.744,250.201,185.011,0,83.6328,91.7687,2.09728
36,161.401,124.097,276.222,297.235,250.317,184.893,0,77.5609,83.8398,2.08095
37,102.599,87.7178,439.351,179,355.762,174.246,0,54.8236,47.7754,1.87144
38,288.108,206.801,476.17,399.089,630.298,334.112,0,129.25,158.858,2.22907
39,106.299,107.352,204.268,562.487,144.813,615.909,0,67.0951,39.2039,1.5843
40,113.699,108.351,546.922,123.811,653.512,129.954,0,67.7193,45.9795,1.67897
41,47.1999,58.5988,193.333,679.733,149.479,693.165,0,36.6242,10.5756,1.28876
42,281.608,186.516,498.021,539.339,613.156,612.861,0,116.572,165.036,2.41574
43,283.308,217.127,478.994,414.088,630.369,334.093,0,135.704,147.604,2.08768
44,281.108,182.287,213.373,438.762,67.7455,405.541,0,113.929,167.179,2.46739
45,17.4,19.2418,151.972,674.273,149.744,693.161,0,12.0261,5.37392,1.44685
46,110.399,86.5014,541.832,635.338,613.18,612.758,0,54.0634,56.3355,2.04203
47,399.415,255.598,448.727,480.204,605.542,535.251,1,159.749,239.666,2.50027
48,287.108,227.08,352.225,360.52,349.852,174.785,0,141.925,145.183,2.02296
49,138.499,130.422,536.159,152.806,653.478,130.045,0,81.5139,56.9853,1.69909
50,282.208,206.479,248.069,416.615,67.7651,404.979,0,129.049,153.159,2.18682
51,149,142.147,265.274,657.145,144.774,615.873,0,88.8419,60.158,1.67714
52,300.409,214.801,243.776,426.354,67.724,405.637,0,134.25,166.159,2.23768
53,78.8994,82.3896,583.226,187.694,647.917,191.262,0,51.4935,27.4059,1.53222
54,376.714,278.44,425.143,434.932,615.624,539.754,0,174.025,202.689,2.16471
55,47.2999,57.7055,554.379,758.105,611.225,754.881,0,36.0659,11.2339,1.31148
56,399.415,281.698,409.814,442.512,604.342,537.992,1,176.061,223.354,2.26861
57,186.302,141.514,293.245,300.333,251.016,184.595,0,88.4464,97.8558,2.10639
58,123.099,123.392,534.918,131.305,653.46,129.951,0,77.1201,45.9786,1.59619
59,73.9994,64.6802,589.296,661.625,613.243,612.849,0,40.4251,33.5743,1.83053
60,291.409,187.655,254.412,354.048,249.008,185.016,0,117.284,174.124,2.48464
61,139.599,183.12,534.368,303.723,648.046,197.815,0,114.45,25.1492,1.21974
62,282.108,215.919,394.19,329.316,349.752,174.67,0,134.949,147.159,2.09047
63,123.799,147.331,316.218,694.286,312.352,818.068,0,92.0817,31.717,1.34444
64,6.5,7.052,623.427,333.286,630.316,334.07,0,4.4075,2.09249,1.47476
65,125.399,167.515,533.965,288.049,647.89,197.818,0,104.697,20.7021,1.19773
66,217.404,208.217,253.598,501.43,139.648,611.173,0,130.135,87.2686,1.6706
67,103.799,118.138,362.946,234.946,349.724,174.7,0,73.8363,29.9627,1.4058
68,93.3991,116.237,320.509,712.769,312.403,818.115,0,72.6478,20.7513,1.28564
69,103.599,122.199,351.188,703.579,312.632,817.951,0,76.3745,27.2245,1.35646
70,317.61,244.616,313.453,375.917,249.813,185.101,0,152.885,164.725,2.07744
71,370.913,324.328,389.963,442.229,349.931,174.826,0,202.705,168.209,1.82982
72,96.4991,119.767,583.294,278.677,647.959,198.04,0,74.8546,21.6445,1.28915
73,302.409,218.857,469.974,370.553,630.288,334.052,0,136.786,165.623,2.21082
74,313.01,202.529,278.878,372.073,249.1,185.089,0,126.581,186.429,2.47281
75,399.415,221.827,419.109,506.4,577.638,450.788,1,138.642,260.773,2.88091
76,116.499,97.0994,264.427,280.216,249.513,185.231,0,60.6871,55.8116,1.91966
77,399.415,259.381,444.894,487.243,604.408,531.15,1,162.113,237.302,2.46381
78,113.999,104.537,241.075,626.022,144.757,615.759,0,65.3358,48.6631,1.74482
79,18.5,18.7147,595.573,614.719,613.28,613.172,0,11.6967,6.80336,1.58165
80,399.415,334.362,580.665,537.511,576.558,545.498,1,208.976,190.439,1.91129
81,121.099,135.853,313.409,283.318,250.456,184.798,0,84.9078,36.1909,1.42624
82,311.11,281.701,357.058,556.778,144.779,615.987,0,176.063,135.046,1.76703
83,290.008,198.1,500.875,576.73,613.199,612.826,0,123.813,166.196,2.34232
84,179.102,130.245,211.434,306.944,248.445,184.776,0,81.4033,97.6984,2.20018
85,113.199,109.582,306.952,248.128,349.942,174.814,0,68.4886,44.7102,1.65281
86,76.9994,78.7976,357.256,195.594,349.7,174.715,0,49.2485,27.7509,1.56349
87,114.399,89.2656,572.956,674.689,613.169,612.794,0,55.791,58.6078,2.05049
88,54.2997,59.5496,569.849,780.52,611.171,754.827,0,37.2185,17.0813,1.45895
89,100.099,114.336,573.006,442.172,615.536,539.975,0,71.4599,28.6391,1.40077
90,95.6991,109.994,87.8419,472.994,67.7749,405.308,0,68.7465,26.9526,1.39206
91,226.505,156.61,205.337,317.948,248.206,184.719,0,97.8812,128.623,2.31408
92,91.2992,92.7566,304.247,230.096,349.684,174.565,0,57.9728,33.3263,1.57486
93,246.006,212.094,378.924,342.867,349.672,174.598,0,132.559,113.447,1.85583
94,0,0,405.617,73.7946,405.617,73.7946,0,0,0,0
95,64.0996,73.2622,591.442,192.463,647.999,197.896,0,45.7889,18.3107,1.3999
96,270.507,190.034,476.31,550.698,613.181,612.838,0,118.771,151.736,2.27755
97,89.8992,109.703,575.623,446.331,615.505,540.217,0,68.5646,21.3346,1.31116
98,183.802,112.675,225.091,294.28,249.535,185.21,0,70.422,113.38,2.61001
99,161.901,207.838,513.567,259.651,648.039,197.963,0,129.899,32.0018,1.24636
100,399.415,289.713,388.698,517.112,589.266,484.366,1,181.071,218.344,2.20585
101,123.299,109.259,423.227,233.179,356.088,173.471,0,68.2866,55.012,1.8056
102,83.5993,101.736,541.376,495.618,615.454,540.092,0,63.5848,20.0145,1.31477
103,356.813,271.435,422.903,403.148,630.358,334.114,0,169.647,187.166,2.10327
104,18.9,23.9022,167.696,623.023,144.812,616.165,0,14.9389,3.96116,1.26516
105,275.608,169.684,489.801,638.685,613.198,612.807,0,106.052,169.555,2.59879
106,348.612,192.787,450.996,638.712,613.154,612.811,0,120.492,228.12,2.89324
107,192.403,144.373,272.1,617.498,144.74,615.728,0,90.2333,102.169,2.13228
108,22.9001,19.7913,87.0148,409.776,67.8369,405.249,0,12.3695,10.5305,1.85133
109,47.4998,48.3965,605.797,133.528,653.539,129.954,0,30.2478,17.252,1.57036
110,399.415,254.793,449.268,487.402,603.552,534.255,1,159.245,240.17,2.50817
111,53.6998,67.4658,190.423,591.315,144.648,616.247,0,42.1661,11.5336,1.27353
112,35.3,30.2212,232.799,205.022,249.173,185.137,0,18.8883,16.4118,1.86889
113,100.599,101.166,244.592,631.142,144.608,615.563,0,63.2285,37.3705,1.59104
114,37.3,45.5246,612.423,192.95,648.389,198.126,0,28.4529,8.84715,1.31094
115,203.003,219.768,385.039,645.766,312.44,818.093,0,137.355,65.6482,1.47795
116,86.9992,76.2044,268.716,258.645,249.87,185.103,0,47.6278,39.3715,1.82665
