ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,163.901,135.85,202.264,305.852,249.534,185.217,0,84.9064,78.9944,1.93037
2,146.2,166.645,308.744,680.888,312.881,817.962,0,104.153,42.0463,1.4037
3,32.7001,33.7457,146.764,660.143,149.98,693.336,0,21.0911,11.609,1.55042
4,4.9,3.20217,603.198,811.794,606.037,812.771,0,2.00136,2.89864,2.44834
5,216.204,206.891,485.858,439.588,615.657,539.73,0,129.307,86.897,1.67202
6,31.8001,39.2766,177.228,672.555,149.895,693.157,0,24.5479,7.25218,1.29543
7,58.7997,66.728,562.248,782.831,611.082,755.011,0,41.705,17.0947,1.40989
8,7.89999,7.71016,360.535,180.118,355.807,174.083,0,4.81885,3.08114,1.63939
9,18.3,21.4296,260.058,203.659,252.341,184.032,0,13.3935,4.90653,1.36634
10,86.8992,92.7507,365.973,200.914,349.914,174.784,0,57.9692,28.93,1.49906
11,135.099,154.688,527.329,177.611,647.812,191.589,0,96.68,38.419,1.39738
12,35.9,44.302,599.321,320.547,630.32,334.09,0,27.6888,8.21124,1.29655
13,24.5001,31.8409,175.361,624.853,144.712,616.254,0,19.9005,4.59951,1.23112
14,55.0997,47.9606,115.22,399.661,67.6674,404.786,0,29.9754,25.1243,1.83817
15,284.008,170.382,503.955,200.292,356.155,173.311,0,106.489,177.519,2.66702
16,27.3001,29.0103,253.562,213.464,249.871,185.137,0,18.1315,9.16861,1.50567
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15.3,18.5055,404.915,96.4033,405.873,78.1685,0,11.566,3.73407,1.32285
19,106.499,95.1205,168.288,534.019,139.702,611.117,0,59.4503,47.0487,1.79139
20,80.4993,84.0485,557.847,352.917,630.358,333.833,0,52.5303,27.9691,1.53244
21,113.999,139.037,531.258,188.603,647.504,192.05,0,86.8982,27.1007,1.31187
22,144.4,155.995,320.564,305.96,251.484,184.436,0,97.4966,46.903,1.48107
23,338.111,243.287,423.164,613.997,613.216,612.573,0,152.054,186.057,2.22362
24,113.599,108.257,558.957,376.819,630.383,333.694,0,67.6607,45.9381,1.67895
25,143.6,182.591,482.236,698.3,612.029,752.962,0,114.119,29.4802,1.25833
26,135.199,114.726,257.389,632.895,144.809,615.769,0,71.7039,63.4952,1.88552
27,205.303,229.007,496.358,505.548,615.596,540.29,0,143.13,62.1738,1.43439
28,6.1,5.96341,605.919,752.248,611.676,753.804,0,3.72713,2.37287,1.63665
29,28.1001,30.4098,572.31,832.479,602.405,833.325,0,19.0061,9.09397,1.47848
30,184.902,129.475,510.94,653.921,613.254,613.199,0,80.9217,103.98,2.28495
31,46.5999,61.5441,596.22,229.778,648.172,198.109,0,38.4651,8.13478,1.21148
32,278.908,221.723,393.289,338.21,349.747,174.686,0,138.577,140.331,2.01266
33,139.099,136.139,531.456,147.664,653.594,130.387,0,85.0866,54.0127,1.6348
34,165.201,142.411,277.441,644.519,144.774,615.764,0,89.007,76.1939,1.85604
35,146.3,133.925,298.569,295.744,251.117,184.619,0,83.7031,62.5966,1.74784
36,128.299,124.344,276.222,297.235,250.05,185.022,0,77.7153,50.5834,1.65088
37,95.1991,87.5202,439.351,179,356.117,173.477,0,54.7001,40.499,1.74038
38,284.708,200.661,476.17,399.089,630.276,334.068,0,125.413,159.295,2.27017
39,108.099,108.226,204.268,562.487,144.679,615.68,0,67.6415,40.4575,1.59812
40,106.599,107.633,546.922,123.811,653.476,130.028,0,67.2709,39.328,1.58462
41,45.5999,58.2313,193.333,679.733,149.555,693.282,0,36.3945,9.20534,1.25293
42,244.806,186.805,498.021,539.339,613.352,612.39,0,116.753,128.052,2.09678
43,289.008,217.608,478.994,414.088,630.381,334.145,0,136.005,153.003,2.12498
44,254.006,181.253,213.373,438.762,67.6385,405.587,0,113.283,140.723,2.24222
45,17.3,19.2038,151.972,674.273,149.686,693.157,0,12.0024,5.29766,1.44138
46,127.299,87.8354,541.832,635.338,613.151,612.606,0,54.8971,72.4015,2.31886
47,352.312,248.318,448.727,480.204,601.708,526.431,1,155.199,197.114,2.27007
48,246.306,224.766,352.225,360.52,349.823,174.735,0,140.479,105.827,1.75333
49,128.799,129.643,536.159,152.806,653.636,130.348,0,81.0268,47.7719,1.58958
50,281.408,207.401,248.069,416.615,67.6499,404.79,0,129.626,151.782,2.17093
51,141.599,142.317,265.274,657.145,144.793,616.132,0,88.948,52.6514,1.59193
52,272.007,213.444,243.776,426.354,67.6654,405.476,0,133.403,138.605,2.039
53,74.5994,81.5273,583.226,187.694,648.485,190.77,0,50.9546,23.6449,1.46404
54,315.61,270.477,425.143,434.932,615.508,540.163,0,169.048,146.562,1.86699
55,47.5998,57.7201,554.379,758.105,611.151,754.815,0,36.0751,11.5248,1.31947
56,352.312,274.404,409.814,442.512,606.279,540.013,1,171.502,180.81,2.05427
57,167.801,140.619,293.245,300.333,251.257,184.529,0,87.8867,79.9143,1.90929
58,114.699,123.101,534.918,131.305,653.498,129.985,0,76.9378,37.761,1.4908
