ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,167.401,136.437,202.264,305.852,249.132,185.095,0,85.273,82.128,1.96312
2,143.4,166.617,308.744,680.888,312.946,818.045,0,104.136,39.264,1.37705
3,32.7001,33.7494,146.764,660.143,149.982,693.339,0,21.0934,11.6067,1.55025
4,4.9,3.20217,603.198,811.794,606.037,812.771,0,2.00136,2.89864,2.44834
5,217.604,206.633,485.858,439.588,615.746,539.551,0,129.146,88.4585,1.68495
6,31.8001,39.2785,177.228,672.555,149.893,693.159,0,24.5491,7.25102,1.29537
7,58.7997,66.7255,562.248,782.831,611.085,755.003,0,41.7034,17.0962,1.40995
8,7.89999,7.71016,360.535,180.118,355.807,174.083,0,4.81885,3.08114,1.63939
9,18.3,21.4354,260.058,203.659,252.342,184.019,0,13.3971,4.90292,1.36597
10,93.1992,93.3943,365.973,200.914,349.714,174.673,0,58.3715,34.8277,1.59666
11,131.799,153.671,527.329,177.611,647.77,191.819,0,96.0441,35.7547,1.37227
12,35.9,44.302,599.321,320.547,630.32,334.09,0,27.6888,8.21124,1.29655
13,24.5001,31.8419,175.361,624.853,144.711,616.253,0,19.9012,4.59887,1.23109
14,55.0997,47.852,115.22,399.661,67.7412,404.781,0,29.9075,25.1923,1.84234
15,260.307,167.027,503.955,200.292,356.16,173.378,0,104.392,155.915,2.49356
16,27.3001,29.0087,253.562,213.464,249.865,185.138,0,18.1304,9.16965,1.50576
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15.3,18.5055,404.915,96.4033,405.873,78.1685,0,11.566,3.73407,1.32285
19,106.799,95.3748,168.288,534.019,139.473,611.226,0,59.6093,47.1897,1.79165
20,79.4994,84.2278,557.847,352.917,630.274,334.05,0,52.6424,26.857,1.51018
21,114.199,139.218,531.258,188.603,648.066,190.991,0,87.0114,27.1874,1.31246
22,140.299,156.286,320.564,305.96,251.569,184.435,0,97.6789,42.6204,1.43633
23,350.212,221.983,423.164,613.997,596.457,613.291,1,138.739,211.473,2.52425
24,111.099,108.739,558.957,376.819,630.414,334.456,0,67.9618,43.1371,1.63473
25,145.5,182.734,482.236,698.3,612.393,752.029,0,114.208,31.2912,1.27398
26,135.599,115.809,257.389,632.895,144.673,615.6,0,72.3805,63.2186,1.87342
27,213.904,227.458,496.358,505.548,615.456,539.871,0,142.161,71.7428,1.50466
28,6.1,5.96341,605.919,752.248,611.676,753.804,0,3.72713,2.37287,1.63665
29,28.1001,30.4029,572.31,832.479,602.398,833.326,0,19.0018,9.09827,1.47881
30,197.803,136.122,510.94,653.921,613.285,613.141,0,85.0765,112.726,2.325
31,46.5999,61.5403,596.22,229.778,648.172,198.113,0,38.4627,8.13717,1.21156
32,270.507,221.489,393.289,338.21,349.696,174.615,0,138.431,132.076,1.9541
33,138.699,136.014,531.456,147.664,653.504,130.247,0,85.009,53.6903,1.63158
34,166.501,141.886,277.441,644.519,144.797,616.047,0,88.679,77.8219,1.87757
35,147.8,134.659,298.569,295.744,251.183,184.522,0,84.162,63.6378,1.75614
36,133.599,125.612,276.222,297.235,250.038,184.977,0,78.5075,55.0914,1.70173
37,95.1991,87.46,439.351,179,355.606,174.339,0,54.6625,40.5366,1.74158
38,257.406,205.249,476.17,399.089,630.356,334.093,0,128.281,129.126,2.00659
39,105.199,106.455,204.268,562.487,144.688,615.63,0,66.5345,38.6645,1.58112
40,106.599,107.826,546.922,123.811,653.531,130.025,0,67.391,39.208,1.5818
41,45.4999,58.1181,193.333,679.733,149.555,693.165,0,36.3238,9.17605,1.25262
42,242.106,188.631,498.021,539.339,613.363,613.143,0,117.894,124.211,2.05358
43,293.209,217.362,478.994,414.088,630.357,334.071,0,135.851,157.358,2.15831
44,250.506,185.033,213.373,438.762,67.7136,405.454,0,115.646,134.86,2.16615
45,17.3,19.2039,151.972,674.273,149.684,693.157,0,12.0024,5.2976,1.44138
46,94.9991,86.973,541.832,635.338,613.213,612.754,0,54.3581,40.641,1.74765
47,350.212,252.731,448.727,480.204,605.294,537.656,1,157.957,192.255,2.21714
48,247.606,225.256,352.225,360.52,349.615,174.649,0,140.785,106.821,1.75875
49,128.699,129.772,536.159,152.806,653.651,130.353,0,81.1074,47.5913,1.58677
50,276.608,206.088,248.069,416.615,67.7343,405.603,0,128.805,147.803,2.14749
51,144,142.933,265.274,657.145,144.797,615.821,0,89.3331,54.6665,1.61194
52,296.209,211.862,243.776,426.354,67.6849,404.833,0,132.414,163.795,2.23699
53,74.9994,81.4096,583.226,187.694,648.413,190.89,0,50.881,24.1185,1.47402
54,333.611,270.373,425.143,434.932,615.656,539.623,0,168.983,164.628,1.97422
55,47.6998,57.7751,554.379,758.105,611.207,754.824,0,36.1094,11.5904,1.32098
56,350.212,277.633,409.814,442.512,608.428,541.033,1,173.521,176.692,2.01827
57,158.7,139.842,293.245,300.333,251.083,184.572,0,87.4014,71.2991,1.81577
58,114.599,123.293,534.918,131.305,653.452,130.034,0,77.058,37.5408,1.48718
59,67.8995,65.1075,589.296,661.625,613.236,612.749,0,40.6922,27.2073,1.66861
60,249.906,188.594,254.412,354.048,249.091,185.108,0,117.871,132.035,2.12016
61,140.699,184.458,534.368,303.723,647.863,197.696,0,115.286,25.413,1.22043
62,245.106,216.233,394.19,329.316,349.849,174.669,0,135.145,109.96,1.81364
63,113.399,147.907,316.218,694.286,312.474,818.012,0,92.4418,20.9571,1.22671
64,6.4,7.02966,623.427,333.286,630.286,334.036,0,4.39354,2.00646,1.45668
65,124.299,167.529,533.965,288.049,647.965,197.761,0,104.706,19.5929,1.18712
66,205.203,207.318,253.598,501.43,139.834,611.084,0,129.574,75.6293,1.58368
67,107.099,116.506,362.946,234.946,349.869,174.71,0,72.8165,34.2824,1.47081
68,87.5992,115.937,320.509,712.769,312.715,817.973,0,72.4609,15.1383,1.20892
69,93.0992,122.603,351.188,703.579,312.769,818.016,0,76.6267,16.4725,1.21497
70,263.907,242.674,313.453,375.917,250.135,184.961,0,151.671,112.236,1.74
71,330.911,322.627,389.963,442.229,349.653,174.662,0,201.642,129.269,1.64108
72,95.0991,119.685,583.294,278.677,648.127,197.958,0,74.8031,20.296,1.27133
73,290.909,221.335,469.974,370.553,630.36,334.111,0,138.334,152.574,2.10294
74,257.807,205.964,278.878,372.073,249.092,185.124,0,128.727,129.079,2.00274
75,350.212,231.633,419.109,506.4,583.946,463.823,1,144.771,205.441,2.41908
76,100.999,98.3361,264.427,280.216,250.334,184.907,0,61.46,39.539,1.64333
77,350.212,261.65,444.894,487.243,605.834,537.326,1,163.531,186.681,2.14156
78,90.5992,100.821,241.075,626.022,144.794,615.927,0,63.0132,27.586,1.43778
79,17.8,19.0634,595.573,614.719,613.204,612.95,0,11.9147,5.88538,1.49396
80,350.212,275.797,580.665,537.511,575.157,545.459,1,172.373,177.839,2.03171
81,120.599,135.239,313.409,283.318,250.855,184.678,0,84.5245,36.0742,1.42679
82,268.107,282.004,357.058,556.778,144.752,616.011,0,176.253,91.8546,1.52115
83,264.407,199.491,500.875,576.73,613.174,612.701,0,124.682,139.725,2.12065
84,156,130.223,211.434,306.944,248.362,184.833,0,81.3894,74.611,1.91672
85,116.099,110.518,306.952,248.128,349.99,174.836,0,69.074,47.0248,1.68079
86,74.6994,79.1569,357.256,195.594,349.747,174.691,0,49.4731,25.2264,1.5099
87,100.099,88.6248,572.956,674.689,613.198,612.658,0,55.3905,44.7086,1.80715
88,52.4998,58.6539,569.849,780.52,611.11,755.292,0,36.6587,15.8411,1.43212
89,107.099,114.276,573.006,442.172,615.536,540.038,0,71.4224,35.6766,1.49952
90,90.3992,109.637,87.8419,472.994,67.6742,405.457,0,68.5233,21.8759,1.31925
91,206.203,154.564,205.337,317.948,248.291,184.819,0,96.6027,109.601,2.13455
92,91.0992,92.3444,304.247,230.096,350.13,174.777,0,57.7153,33.3839,1.57842
93,217.304,210.364,378.924,342.867,349.759,174.715,0,131.477,85.8266,1.65279
94,0,0,405.617,73.7946,405.617,73.7946,0,0,0,0
95,60.9996,73.5349,591.442,192.463,647.792,197.647,0,45.9593,15.0403,1.32725
96,221.904,191.126,476.31,550.698,613.334,612.459,0,119.454,102.451,1.85766
97,91.1992,110.235,575.623,446.331,615.623,540.345,0,68.897,22.3022,1.3237
98,168.101,114.18,225.091,294.28,249.398,185.186,0,71.3624,96.7387,2.3556
99,161.001,207.534,513.567,259.651,647.859,197.651,0,129.709,31.2917,1.24125
100,350.212,235.168,388.698,517.112,558.188,451.622,1,146.98,203.232,2.38272
101,117.699,108.178,423.227,233.179,356.219,173.328,0,67.6115,50.0873,1.74081
102,80.6993,102.322,541.376,495.618,615.683,540.45,0,63.9515,16.7478,1.26188
103,327.511,277.227,422.903,403.148,630.322,334.081,0,173.267,154.244,1.89021
104,18.7,23.951,167.696,623.023,144.712,616.314,0,14.9694,3.73064,1.24922
105,243.106,169.279,489.801,638.685,613.159,613.002,0,105.799,137.306,2.2978
106,293.809,191.265,450.996,638.712,613.222,612.817,0,119.541,174.268,2.45781
107,182.802,144.865,272.1,617.498,144.672,615.647,0,90.5409,92.2611,2.019
108,21.9,19.9372,87.0148,409.776,67.7544,405.172,0,12.4608,9.43928,1.75752
109,46.0999,48.0227,605.797,133.528,653.49,129.955,0,30.0142,16.0857,1.53594
110,350.212,217.825,449.268,487.402,592.434,489.816,1,136.14,214.072,2.57243
111,54.4997,67.0608,190.423,591.315,144.705,616.363,0,41.913,12.5867,1.30031
112,34.3,30.1764,232.799,205.022,249.084,185.124,0,18.8603,15.4398,1.81864
113,95.3991,101.31,244.592,631.142,144.766,616.073,0,63.3189,32.0802,1.50664
114,35.8,45.1543,612.423,192.95,647.957,197.884,0,28.2215,7.57857,1.26854
115,187.602,219.566,385.039,645.766,312.495,818.022,0,137.228,50.3738,1.36708
116,80.4993,77.5004,268.716,258.645,249.561,185.236,0,48.4378,32.0616,1.66191
117,350.212,264.452,442.832,497.419,602.442,530.65,1,165.283,184.929,2.11887
118,168.901,145.907,277.107,648.449,144.74,616.018,0,91.1916,77.7095,1.85216
119,131.799,142.851,233.61,775.701,152.816,701.747,0,89.2818,42.5171,1.47621
120,143.6,185.249,534.131,305.375,648.061,197.946,0,115.78,27.8192,1.24028
121,123.499,129.275,525.75,706.958,612.128,752.686,0,80.7966,42.7021,1.52851
122,72.0995,76.908,188.981,211.898,248.331,184.767,0,48.0675,24.032,1.49996
123,74.9994,99.8544,330.408,721.932,312.733,818.052,0,62.409,12.5905,1.20174
124,0,0,619.765,613.058,619.765,613.058,0,0,0,0
125,23.0001,28.0363,159.186,600.817,144.516,616.471,0,17.5227,5.47735,1.31259
126,126.299,116.193,126.777,515.013,139.607,611.244,0,72.6206,53.6781,1.73916
127,92.3992,112.275,574.102,444.642,615.637,540.322,0,70.1719,22.2273,1.31675
