step,time,alive
0,0,7904
1,1,7891
2,2,7873
3,3,7851
4,4,7824
5,5,7804
6,6,7773
7,7,7746
8,8,7714
9,9,7684
10,10,7659
11,11,7630
12,12,7607
13,13,7577
14,14,7550
15,15,7521
16,16,7486
17,17,7461
18,18,7429
19,19,7397
20,20,7366
21,21,7337
22,22,7304
23,23,7272
24,24,7239
25,25,7203
26,26,7171
27,27,7139
28,28,7104
29,29,7071
30,30,7037
31,31,6997
32,32,6971
33,33,6934
34,34,6898
35,35,6862
36,36,6830
37,37,6795
38,38,6757
39,39,6727
40,40,6693
41,41,6661
42,42,6627
43,43,6598
44,44,6560
45,45,6529
46,46,6497
47,47,6463
48,48,6429
49,49,6400
50,50,6363
51,51,6329
52,52,6296
53,53,6262
54,54,6225
55,55,6195
56,56,6167
57,57,6134
58,58,6109
59,59,6081
60,60,6051
61,61,6020
62,62,5994
63,63,5963
64,64,5931
65,65,5904
66,66,5874
67,67,5844
68,68,5817
69,69,5790
70,70,5757
71,71,5732
72,72,5704
73,73,5672
74,74,5642
75,75,5611
76,76,5587
77,77,5558
78,78,5527
79,79,5496
80,80,5469
81,81,5437
82,82,5411
83,83,5380
84,84,5350
85,85,5321
86,86,5293
87,87,5267
88,88,5234
89,89,5210
90,90,5182
91,91,5153
92,92,5126
93,93,5095
94,94,5067
95,95,5040
96,96,5011
97,97,4980
98,98,4951
99,99,4924
100,100,4894
101,101,4866
102,102,4834
103,103,4809
104,104,4780
105,105,4752
106,106,4721
107,107,4693
108,108,4666
109,109,4638
110,110,4604
111,111,4575
112,112,4548
113,113,4519
114,114,4489
115,115,4461
116,116,4431
117,117,4409
118,118,4379
119,119,4352
120,120,4323
121,121,4292
122,122,4266
123,123,4239
124,124,4207
125,125,4181
126,126,4151
127,127,4124
128,128,4098
129,129,4069
130,130,4041
131,131,4016
132,132,3988
133,133,3962
134,134,3935
135,135,3910
136,136,3883
137,137,3854
138,138,3824
139,139,3799
140,140,3773
141,141,3742
142,142,3715
143,143,3689
144,144,3666
145,145,3636
146,146,3614
147,147,3586
148,148,3562
149,149,3535
150,150,3510
151,151,3484
152,152,3459
153,153,3431
154,154,3409
155,155,3385
156,156,3358
157,157,3334
158,158,3309
159,159,3284
160,160,3261
161,161,3235
162,162,3210
163,163,3185
164,164,3162
165,165,3139
166,166,3118
167,167,3096
168,168,3067
169,169,3046
170,170,3020
171,171,2997
172,172,2973
173,173,2953
174,174,2927
175,175,2904
176,176,2882
177,177,2860
178,178,2836
179,179,2818
180,180,2796
181,181,2776
182,182,2755
183,183,2733
184,184,2711
185,185,2688
186,186,2670
187,187,2649
188,188,2625
189,189,2606
190,190,2587
191,191,2566
192,192,2544
193,193,2526
194,194,2508
195,195,2484
196,196,2465
197,197,2444
198,198,2423
199,199,2399
200,200,2378
201,201,2359
202,202,2336
203,203,2317
204,204,2296
205,205,2279
206,206,2257
207,207,2238
208,208,2218
209,209,2199
210,210,2177
211,211,2158
212,212,2140
213,213,2121
214,214,2103
215,215,2084
216,216,2062
217,217,2044
218,218,2025
219,219,2005
220,220,1986
221,221,1970
222,222,1949
223,223,1930
224,224,1911
225,225,1894
226,226,1876
227,227,1859
228,228,1836
229,229,1820
230,230,1804
231,231,1784
232,232,1767
233,233,1750
234,234,1731
235,235,1718
236,236,1696
237,237,1680
238,238,1662
239,239,1646
240,240,1631
241,241,1611
242,242,1594
243,243,1578
244,244,1562
245,245,1545
246,246,1528
247,247,1516
248,248,1499
249,249,1482
250,250,1470
251,251,1450
252,252,1437
253,253,1421
254,254,1404
255,255,1387
256,256,1371
257,257,1358
258,258,1339
259,259,1327
260,260,1311
261,261,1296
262,262,1278
263,263,1262
264,264,1249
265,265,1235
266,266,1218
267,267,1204
268,268,1193
269,269,1178
270,270,1164
271,271,1153
272,272,1141
273,273,1124
274,274,1111
275,275,1097
276,276,1086
277,277,1072
278,278,1060
279,279,1048
280,280,1033
281,281,1018
282,282,1007
283,283,996
284,284,983
285,285,969
286,286,955
287,287,944
288,288,930
289,289,919
290,290,906
291,291,893
292,292,881
293,293,868
294,294,859
295,295,846
296,296,835
297,297,824
298,298,811
299,299,799
300,300,788
301,301,773
302,302,763
303,303,752
304,304,740
305,305,730
306,306,720
307,307,709
308,308,701
309,309,692
310,310,680
311,311,671
312,312,661
313,313,651
314,314,643
315,315,632
316,316,621
317,317,610
318,318,604
319,319,593
320,320,583
321,321,574
322,322,565
323,323,555
324,324,544
325,325,535
326,326,524
327,327,515
328,328,506
329,329,494
330,330,486
331,331,480
332,332,471
333,333,464
334,334,456
335,335,450
336,336,444
337,337,437
338,338,430
339,339,424
340,340,417
341,341,412
342,342,405
343,342.9,400
