step,time,alive
0,0,7904
1,1,7891
2,2,7873
3,3,7851
4,4,7824
5,5,7804
6,6,7773
7,7,7746
8,8,7714
9,9,7684
10,10,7659
11,11,7630
12,12,7607
13,13,7577
14,14,7550
15,15,7521
16,16,7486
17,17,7461
18,18,7429
19,19,7397
20,20,7366
21,21,7337
22,22,7304
23,23,7272
24,24,7239
25,25,7203
26,26,7171
27,27,7139
28,28,7104
29,29,7071
30,30,7037
31,31,6997
32,32,6971
33,33,6936
34,34,6896
35,35,6862
36,36,6831
37,37,6796
38,38,6757
39,39,6727
40,40,6694
41,41,6659
42,42,6627
43,43,6596
44,44,6562
45,45,6531
46,46,6499
47,47,6462
48,48,6430
49,49,6399
50,50,6364
51,51,6329
52,52,6294
53,53,6260
54,54,6228
55,55,6196
56,56,6168
57,57,6136
58,58,6110
59,59,6083
60,60,6051
61,61,6021
62,62,5993
63,63,5962
64,64,5930
65,65,5899
66,66,5873
67,67,5846
68,68,5817
69,69,5793
70,70,5762
71,71,5732
72,72,5702
73,73,5675
74,74,5643
75,75,5618
76,76,5583
77,77,5556
78,78,5524
79,79,5495
80,80,5467
81,81,5436
82,82,5407
83,83,5380
84,84,5352
85,85,5323
86,86,5293
87,87,5268
88,88,5235
89,89,5205
90,90,5182
91,91,5153
92,92,5122
93,93,5092
94,94,5064
95,95,5039
96,96,5009
97,97,4981
98,98,4956
99,99,4925
100,100,4897
101,101,4868
102,102,4840
103,103,4810
104,104,4782
105,105,4754
106,106,4724
107,107,4696
108,108,4667
109,109,4637
110,110,4609
111,111,4581
112,112,4549
113,113,4526
114,114,4492
115,115,4464
116,116,4436
117,117,4408
118,118,4380
119,119,4352
120,120,4322
121,121,4297
122,122,4267
123,123,4238
124,124,4209
125,125,4183
126,126,4154
127,127,4126
128,128,4096
129,129,4074
130,130,4047
131,131,4019
132,132,3992
133,133,3964
134,134,3938
135,135,3912
136,136,3885
137,137,3854
138,138,3828
139,139,3800
140,140,3772
141,141,3745
142,142,3716
143,143,3692
144,144,3665
145,145,3642
146,146,3614
147,147,3588
148,148,3563
149,149,3535
150,150,3511
151,151,3485
152,152,3459
153,153,3434
154,154,3411
155,155,3388
156,156,3360
157,157,3334
158,158,3311
159,159,3285
160,160,3262
161,161,3236
162,162,3211
163,163,3187
164,164,3164
165,165,3138
166,166,3113
167,167,3090
168,168,3063
169,169,3041
170,170,3015
171,171,2992
172,172,2971
173,173,2944
174,174,2924
175,175,2900
176,176,2877
177,177,2856
178,178,2836
179,179,2815
180,180,2794
181,181,2773
182,182,2755
183,183,2731
184,184,2710
185,185,2686
186,186,2667
187,187,2648
188,188,2625
189,189,2604
190,190,2582
191,191,2563
192,192,2542
193,193,2519
194,194,2503
195,195,2484
196,196,2462
197,197,2441
198,198,2420
199,199,2401
200,200,2378
201,201,2362
202,202,2341
203,203,2321
204,204,2303
205,205,2282
206,206,2259
207,207,2245
208,208,2220
209,209,2207
210,210,2184
211,211,2164
212,212,2144
213,213,2123
214,214,2103
215,215,2085
216,216,2067
217,217,2048
218,218,2029
219,219,2010
220,220,1990
221,221,1971
222,222,1953
223,223,1934
224,224,1915
225,225,1898
226,226,1878
227,227,1860
228,228,1844
229,229,1823
230,230,1805
231,231,1785
232,232,1768
233,233,1752
234,234,1735
235,235,1717
236,236,1699
237,237,1682
238,238,1664
239,239,1650
240,240,1629
241,241,1614
242,242,1597
243,243,1580
244,244,1562
245,245,1545
246,246,1531
247,247,1514
248,248,1500
249,249,1483
250,250,1468
251,251,1453
252,252,1432
253,253,1420
254,254,1403
255,255,1388
256,256,1370
257,257,1354
258,258,1340
259,259,1323
260,260,1307
261,261,1292
262,262,1277
263,263,1262
264,264,1249
265,265,1233
266,266,1220
267,267,1206
268,268,1193
269,269,1180
270,270,1169
271,271,1153
272,272,1142
273,273,1128
274,274,1114
275,275,1100
276,276,1088
277,277,1074
278,278,1061
279,279,1047
280,280,1034
281,281,1020
282,282,1006
283,283,995
284,284,981
285,285,967
286,286,955
287,287,944
288,288,932
289,289,918
290,290,906
291,291,894
292,292,882
293,293,870
294,294,857
295,295,845
296,296,834
297,297,822
298,298,809
299,299,796
300,300,784
301,301,771
302,302,758
303,303,748
304,304,734
305,305,722
306,306,712
307,307,702
308,308,692
309,309,682
310,310,670
311,311,660
312,312,651
313,313,641
314,314,630
315,315,621
316,316,610
317,317,600
318,318,590
319,319,580
320,320,570
321,321,560
322,322,552
323,323,541
324,324,531
325,325,522
326,326,512
327,327,500
328,328,493
329,329,484
330,330,476
331,331,468
332,332,461
333,333,456
334,334,450
335,335,444
336,336,437
337,337,432
338,338,425
339,339,418
340,340,414
341,341,408
342,342,404
343,342.4,400
