step,time,alive
0,0,7904
1,1,7891
2,2,7873
3,3,7851
4,4,7826
5,5,7803
6,6,7775
7,7,7746
8,8,7716
9,9,7687
10,10,7661
11,11,7634
12,12,7610
13,13,7586
14,14,7561
15,15,7530
16,16,7503
17,17,7472
18,18,7439
19,19,7411
20,20,7379
21,21,7353
22,22,7325
23,23,7293
24,24,7262
25,25,7232
26,26,7198
27,27,7169
28,28,7137
29,29,7103
30,30,7071
31,31,7037
32,32,7005
33,33,6978
34,34,6942
35,35,6910
36,36,6882
37,37,6849
38,38,6814
39,39,6782
40,40,6753
41,41,6724
42,42,6694
43,43,6661
44,44,6629
45,45,6597
46,46,6564
47,47,6533
48,48,6505
49,49,6472
50,50,6441
51,51,6411
52,52,6379
53,53,6346
54,54,6318
55,55,6284
56,56,6261
57,57,6229
58,58,6200
59,59,6171
60,60,6139
61,61,6111
62,62,6083
63,63,6059
64,64,6028
65,65,6001
66,66,5977
67,67,5948
68,68,5920
69,69,5893
70,70,5868
71,71,5842
72,72,5815
73,73,5787
74,74,5767
75,75,5740
76,76,5712
77,77,5689
78,78,5664
79,79,5635
80,80,5612
81,81,5581
82,82,5556
83,83,5534
84,84,5503
85,85,5478
86,86,5453
87,87,5428
88,88,5407
89,89,5377
90,90,5352
91,91,5329
92,92,5305
93,93,5277
94,94,5250
95,95,5228
96,96,5197
97,97,5176
98,98,5148
99,99,5127
100,100,5097
101,101,5076
102,102,5051
103,103,5026
104,104,4999
105,105,4976
106,106,4955
107,107,4925
108,108,4904
109,109,4879
110,110,4856
111,111,4832
112,112,4808
113,113,4787
114,114,4760
115,115,4735
116,116,4714
117,117,4688
118,118,4667
119,119,4643
120,120,4619
121,121,4598
122,122,4570
123,123,4548
124,124,4527
125,125,4504
126,126,4477
127,127,4454
128,128,4431
129,129,4403
130,130,4381
131,131,4357
132,132,4331
133,133,4309
134,134,4280
135,135,4256
136,136,4233
137,137,4205
138,138,4184
139,139,4155
140,140,4129
141,141,4106
142,142,4080
143,143,4058
144,144,4034
145,145,4007
146,146,3984
147,147,3960
148,148,3933
149,149,3913
150,150,3890
151,151,3870
152,152,3848
153,153,3822
154,154,3798
155,155,3779
156,156,3754
157,157,3733
158,158,3709
159,159,3687
160,160,3659
161,161,3637
162,162,3617
163,163,3592
164,164,3570
165,165,3544
166,166,3520
167,167,3499
168,168,3477
169,169,3458
170,170,3432
171,171,3408
172,172,3386
173,173,3365
174,174,3345
175,175,3321
176,176,3300
177,177,3279
178,178,3256
179,179,3234
180,180,3212
181,181,3191
182,182,3172
183,183,3149
184,184,3130
185,185,3110
186,186,3090
187,187,3068
188,188,3052
189,189,3032
190,190,3015
191,191,2996
192,192,2982
193,193,2966
194,194,2953
195,195,2934
196,196,2917
197,197,2899
198,198,2881
199,199,2865
200,200,2850
201,201,2832
202,202,2816
203,203,2799
204,204,2783
205,205,2766
206,206,2745
207,207,2734
208,208,2717
209,209,2697
210,210,2683
211,211,2663
212,212,2645
213,213,2628
214,214,2612
215,215,2597
216,216,2577
217,217,2560
218,218,2544
219,219,2523
220,220,2507
221,221,2490
222,222,2471
223,223,2457
224,224,2439
225,225,2423
226,226,2404
227,227,2388
228,228,2369
229,229,2353
230,230,2335
231,231,2322
232,232,2304
233,233,2284
234,234,2268
235,235,2252
236,236,2235
237,237,2216
238,238,2202
239,239,2181
240,240,2168
241,241,2148
242,242,2134
243,243,2113
244,244,2097
245,245,2078
246,246,2063
247,247,2046
248,248,2029
249,249,2013
250,250,1997
251,251,1983
252,252,1966
253,253,1950
254,254,1933
255,255,1920
256,256,1903
257,257,1889
258,258,1872
259,259,1854
260,260,1841
261,261,1823
262,262,1809
263,263,1793
264,264,1777
265,265,1763
266,266,1747
267,267,1730
268,268,1719
269,269,1702
270,270,1688
271,271,1674
272,272,1660
273,273,1643
274,274,1627
275,275,1613
276,276,1600
277,277,1582
278,278,1570
279,279,1555
280,280,1540
281,281,1525
282,282,1509
283,283,1496
284,284,1482
285,285,1469
286,286,1454
287,287,1440
288,288,1426
289,289,1415
290,290,1402
291,291,1389
292,292,1375
293,293,1362
294,294,1351
295,295,1338
296,296,1327
297,297,1313
298,298,1300
299,299,1288
300,300,1275
301,301,1265
302,302,1252
303,303,1240
304,304,1228
305,305,1215
306,306,1204
307,307,1192
308,308,1178
309,309,1165
310,310,1153
311,311,1143
312,312,1128
313,313,1117
314,314,1106
315,315,1095
316,316,1084
317,317,1077
318,318,1066
319,319,1057
320,320,1048
321,321,1037
322,322,1027
323,323,1016
324,324,1004
325,325,997
326,326,987
327,327,976
328,328,966
329,329,955
330,330,946
331,331,937
332,332,927
333,333,917
334,334,906
335,335,896
336,336,887
337,337,878
338,338,868
339,339,857
340,340,846
341,341,838
342,342,827
343,343,817
344,344,805
345,345,798
346,346,788
347,347,780
348,348,771
349,349,763
350,350,755
351,351,746
352,352,737
353,353,729
354,354,720
355,355,713
356,356,706
357,357,695
358,358,687
359,359,680
360,360,668
361,361,662
362,362,652
363,363,644
364,364,635
365,365,626
366,366,618
367,367,610
368,368,600
369,369,594
370,370,586
371,371,580
372,372,573
373,373,564
374,374,558
375,375,553
376,376,548
377,377,543
378,378,538
379,379,532
380,380,526
381,381,522
382,382,517
383,383,514
384,384,506
385,385,501
386,386,497
387,387,491
388,388,486
389,389,480
390,390,476
391,391,472
392,392,466
393,393,462
394,394,457
395,395,452
396,396,448
397,397,445
398,398,440
399,399,436
400,400,432
401,401,429
402,402,425
403,403,421
404,404,417
405,405,413
406,406,408
407,407,406
408,408,400
