ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,194.103,137.642,202.264,305.852,248.913,184.972,0,86.0262,108.076,2.25632
2,153,166.174,308.744,680.888,312.271,818.082,0,103.859,49.1416,1.47316
3,33.5001,33.5716,146.764,660.143,149.435,693.259,0,20.9823,12.5178,1.59659
4,5,3.21121,603.198,811.794,606.046,812.772,0,2.00701,2.99299,2.49127
5,258.607,204.964,485.858,439.588,615.642,539.561,0,128.103,130.504,2.01874
6,32.9001,39.7537,177.228,672.555,149.934,693.239,0,24.8461,8.054,1.32416
7,59.7997,66.4621,562.248,782.831,611.053,754.988,0,41.5388,18.2608,1.43961
8,7.89999,7.7092,360.535,180.118,355.775,174.116,0,4.81825,3.08174,1.6396
9,17.7,21.0919,260.058,203.659,252.623,183.994,0,13.1825,4.51757,1.3427
10,94.2991,92.6629,365.973,200.914,349.608,174.59,0,57.9143,36.3848,1.62825
11,131.699,153.423,527.329,177.611,647.755,191.75,0,95.8894,35.8094,1.37345
12,36.9,44.262,599.321,320.547,630.275,334.146,0,27.6637,9.23628,1.33388
13,24.9001,31.9777,175.361,624.853,144.67,616.243,0,19.986,4.91403,1.24587
14,59.5997,48.9552,115.22,399.661,67.6861,404.802,0,30.597,29.0026,1.94789
15,323.111,171.812,503.955,200.292,356.069,173.465,0,107.383,215.728,3.00897
16,28.9001,28.8764,253.562,213.464,249.55,185.223,0,18.0477,10.8523,1.60131
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15.5,18.451,404.915,96.4033,405.908,78.2206,0,11.5318,3.96818,1.34411
19,120.999,96.1573,168.288,534.019,139.775,611.134,0,60.0983,60.9004,2.01335
20,80.4993,84.3356,557.847,352.917,630.316,333.932,0,52.7097,27.7896,1.52722
21,114.899,139.698,531.258,188.603,647.715,191.793,0,87.3114,27.5874,1.31597
22,152.9,154.773,320.564,305.96,250.854,184.684,0,96.7334,56.1667,1.58063
23,406.716,228.385,423.164,613.997,595.881,613.118,1,142.741,263.975,2.84933
24,126.099,109.673,558.957,376.819,630.294,334.137,0,68.5455,57.5531,1.83963
25,157.6,183.635,482.236,698.3,611.995,753.082,0,114.772,42.8284,1.37316
26,142.099,115.061,257.389,632.895,144.765,615.96,0,71.9133,70.1862,1.97598
27,218.804,229.138,496.358,505.548,615.499,540.106,0,143.211,75.593,1.52784
28,6.1,5.96893,605.919,752.248,611.678,753.817,0,3.73058,2.36941,1.63513
29,28.9001,30.4309,572.31,832.479,602.412,833.262,0,19.0193,9.88074,1.51951
30,210.204,129.192,510.94,653.921,613.186,612.756,0,80.7447,129.459,2.60331
31,47.2999,61.6204,596.22,229.778,648.392,198.098,0,38.5127,8.78711,1.22816
32,311.51,220.423,393.289,338.21,349.705,174.623,0,137.764,173.745,2.26118
33,149.1,134.931,531.456,147.664,653.459,130.049,0,84.3317,64.7682,1.76802
34,181.902,142.986,277.441,644.519,144.794,615.828,0,89.3662,92.5357,2.03547
35,190.902,135.536,298.569,295.744,250.023,185.024,0,84.7097,106.193,2.25361
