ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,191.002,136.03,202.264,305.852,249.49,185.213,0,85.019,105.983,2.24659
2,150.3,167.065,308.744,680.888,312.171,818.21,0,104.415,45.8845,1.43944
3,33.5001,33.5723,146.764,660.143,149.433,693.26,0,20.9827,12.5174,1.59656
4,5,3.21121,603.198,811.794,606.046,812.772,0,2.00701,2.99299,2.49127
5,231.705,207.289,485.858,439.588,615.472,539.914,0,129.555,102.15,1.78846
6,32.9001,39.745,177.228,672.555,149.932,693.23,0,24.8406,8.05943,1.32445
7,59.6997,66.5528,562.248,782.831,611.149,755.241,0,41.5955,18.1042,1.43524
8,7.89999,7.7092,360.535,180.118,355.775,174.116,0,4.81825,3.08174,1.6396
9,17.7,21.0876,260.058,203.659,252.622,184.001,0,13.1797,4.52031,1.34297
10,99.6991,94.2037,365.973,200.914,349.832,174.742,0,58.8773,40.8217,1.69334
11,133.099,153.256,527.329,177.611,648.428,190.889,0,95.7847,37.3142,1.38956
12,36.9,44.265,599.321,320.547,630.277,334.143,0,27.6656,9.23441,1.33379
13,24.9001,31.9785,175.361,624.853,144.667,616.245,0,19.9865,4.91352,1.24584
14,60.0997,48.9546,115.22,399.661,67.6721,404.795,0,30.5966,29.503,1.96426
15,297.709,168.001,503.955,200.292,356.236,173.386,0,105.001,192.708,2.8353
16,28.9001,28.8766,253.562,213.464,249.546,185.225,0,18.0479,10.8522,1.6013
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15.5,18.4566,404.915,96.4033,405.906,78.2127,0,11.5354,3.96462,1.34369
19,122.399,95.405,168.288,534.019,140.124,611.104,0,59.6281,62.7706,2.0527
20,81.6993,84.0627,557.847,352.917,630.26,333.872,0,52.5392,29.1602,1.55502
21,114.499,138.568,531.258,188.603,647.761,191.895,0,86.6051,27.8937,1.32208
22,155.7,156.032,320.564,305.96,250.968,184.581,0,97.5201,58.1802,1.5966
23,408.116,226.865,423.164,613.997,596.666,615.198,1,141.791,266.325,2.8783
24,127.799,109.076,558.957,376.819,630.301,334.086,0,68.1728,59.6258,1.87463
25,156.1,183.212,482.236,698.3,611.979,753.036,0,114.508,41.5928,1.36323
26,148.7,115.58,257.389,632.895,144.766,615.805,0,72.2373,76.4626,2.05849
27,220.704,230.49,496.358,505.548,615.497,540.056,0,144.057,76.6477,1.53207
28,6.1,5.96893,605.919,752.248,611.678,753.817,0,3.73058,2.36941,1.63513
29,28.9001,30.4315,572.31,832.479,602.412,833.267,0,19.0197,9.88036,1.51948
30,231.105,129.818,510.94,653.921,613.16,612.795,0,81.1361,149.969,2.84836
31,47.2999,61.6379,596.22,229.778,648.409,198.094,0,38.5237,8.77617,1.22781
32,321.31,222.256,393.289,338.21,349.483,174.524,0,138.91,182.4,2.31308
33,149.3,136.09,531.456,147.664,653.553,130.046,0,85.0563,64.2436,1.75531
34,196.203,143.775,277.441,644.519,144.827,615.774,0,89.8591,106.344,2.18345
35,153.6,134.541,298.569,295.744,250.673,184.844,0,84.0879,69.5123,1.82666
36,150.2,124.409,276.222,297.235,249.841,185.143,0,77.7555,72.4445,1.9317
37,99.5991,87.7169,439.351,179,355.701,174.313,0,54.8231,44.776,1.81674
38,301.309,201.631,476.17,399.089,630.284,334.087,0,126.019,175.29,2.39097
39,104.999,104.588,204.268,562.487,144.686,615.598,0,65.3678,39.6312,1.60628
40,112.599,108.041,546.922,123.811,653.488,130.048,0,67.5257,45.0732,1.6675
41,47.7998,58.8387,193.333,679.733,149.732,693.152,0,36.7742,11.0257,1.29982
42,279.308,188.971,498.021,539.339,613.253,612.759,0,118.107,161.201,2.36487
43,279.008,215.185,478.994,414.088,630.307,334.054,0,134.49,144.517,2.07456
44,262.407,182.299,213.373,438.762,67.75,405.559,0,113.937,148.47,2.30309
45,17.6,19.3129,151.972,674.273,149.66,693.255,0,12.0706,5.52944,1.45809
46,135.399,86.8401,541.832,635.338,613.231,612.831,0,54.2751,81.124,2.49468
47,408.116,252.71,448.727,480.204,603.735,535.825,1,157.944,250.172,2.58393
48,265.407,228.132,352.225,360.52,349.698,174.571,0,142.582,122.825,1.86143
49,142.099,129.597,536.159,152.806,653.486,130.011,0,80.998,61.1014,1.75436
50,311.41,207.061,248.069,416.615,67.7163,404.808,0,129.413,181.996,2.40632
51,143.5,141.642,265.274,657.145,144.807,615.954,0,88.5261,54.9735,1.62099
52,308.21,212.694,243.776,426.354,67.7109,404.821,0,132.934,175.276,2.31852
53,78.9994,82.5195,583.226,187.694,648.519,190.819,0,51.5747,27.4247,1.53175
