step,time,alive
0,0,7904
1,1,7891
2,2,7873
3,3,7851
4,4,7828
5,5,7806
6,6,7776
7,7,7746
8,8,7716
9,9,7687
10,10,7664
11,11,7636
12,12,7614
13,13,7591
14,14,7566
15,15,7540
16,16,7511
17,17,7481
18,18,7451
19,19,7422
20,20,7393
21,21,7363
22,22,7336
23,23,7306
24,24,7275
25,25,7246
26,26,7213
27,27,7185
28,28,7149
29,29,7120
30,30,7089
31,31,7054
32,32,7025
33,33,6999
34,34,6971
35,35,6937
36,36,6905
37,37,6873
38,38,6845
39,39,6815
40,40,6787
41,41,6760
42,42,6731
43,43,6701
44,44,6666
45,45,6638
46,46,6609
47,47,6579
48,48,6552
49,49,6523
50,50,6493
51,51,6463
52,52,6434
53,53,6403
54,54,6374
55,55,6350
56,56,6321
57,57,6293
58,58,6265
59,59,6238
60,60,6214
61,61,6183
62,62,6161
63,63,6130
64,64,6107
65,65,6077
66,66,6051
67,67,6030
68,68,6005
69,69,5982
70,70,5951
71,71,5928
72,72,5901
73,73,5874
74,74,5851
75,75,5828
76,76,5803
77,77,5779
78,78,5757
79,79,5732
80,80,5705
81,81,5683
82,82,5656
83,83,5630
84,84,5612
85,85,5586
86,86,5562
87,87,5536
88,88,5516
89,89,5489
90,90,5467
91,91,5443
92,92,5420
93,93,5394
94,94,5373
95,95,5350
96,96,5327
97,97,5306
98,98,5281
99,99,5257
100,100,5233
101,101,5215
102,102,5190
103,103,5171
104,104,5146
105,105,5126
106,106,5103
107,107,5083
108,108,5060
109,109,5040
110,110,5017
111,111,4995
112,112,4973
113,113,4953
114,114,4930
115,115,4909
116,116,4889
117,117,4868
118,118,4845
119,119,4824
120,120,4803
121,121,4781
122,122,4760
123,123,4738
124,124,4713
125,125,4693
126,126,4671
127,127,4647
128,128,4629
129,129,4606
130,130,4584
131,131,4559
132,132,4545
133,133,4522
134,134,4497
135,135,4479
136,136,4455
137,137,4430
138,138,4407
139,139,4388
140,140,4361
141,141,4338
142,142,4319
143,143,4295
144,144,4275
145,145,4254
146,146,4228
147,147,4206
148,148,4183
149,149,4163
150,150,4141
151,151,4119
152,152,4099
153,153,4072
154,154,4052
155,155,4031
156,156,4009
157,157,3988
158,158,3966
159,159,3945
160,160,3926
161,161,3904
162,162,3882
163,163,3862
164,164,3841
165,165,3819
166,166,3798
167,167,3777
168,168,3760
169,169,3734
170,170,3717
171,171,3695
172,172,3678
173,173,3652
174,174,3637
175,175,3615
176,176,3593
177,177,3571
178,178,3554
179,179,3531
180,180,3515
181,181,3496
182,182,3479
183,183,3458
184,184,3438
185,185,3420
186,186,3399
187,187,3383
188,188,3364
189,189,3345
190,190,3329
191,191,3310
192,192,3295
193,193,3276
194,194,3261
195,195,3244
196,196,3226
197,197,3215
198,198,3195
199,199,3177
200,200,3159
201,201,3145
202,202,3132
203,203,3120
204,204,3102
205,205,3088
206,206,3072
207,207,3057
208,208,3041
209,209,3024
210,210,3010
211,211,2998
212,212,2979
213,213,2967
214,214,2949
215,215,2934
216,216,2918
217,217,2904
218,218,2890
219,219,2875
220,220,2859
221,221,2848
222,222,2831
223,223,2816
224,224,2801
225,225,2787
226,226,2774
227,227,2759
228,228,2741
229,229,2727
230,230,2712
231,231,2700
232,232,2683
233,233,2669
234,234,2655
235,235,2639
236,236,2625
237,237,2606
238,238,2593
239,239,2578
240,240,2562
241,241,2548
242,242,2533
243,243,2522
244,244,2501
245,245,2489
246,246,2474
247,247,2456
248,248,2442
249,249,2427
250,250,2409
251,251,2394
252,252,2383
253,253,2365
254,254,2351
255,255,2336
256,256,2319
257,257,2308
258,258,2291
259,259,2275
260,260,2257
261,261,2246
262,262,2230
263,263,2217
264,264,2202
265,265,2187
266,266,2172
267,267,2157
268,268,2144
269,269,2130
270,270,2113
271,271,2100
272,272,2083
273,273,2071
274,274,2056
275,275,2045
276,276,2029
277,277,2015
278,278,2003
279,279,1990
280,280,1974
281,281,1959
282,282,1949
283,283,1933
284,284,1918
285,285,1906
286,286,1891
287,287,1881
288,288,1867
289,289,1856
290,290,1842
291,291,1828
292,292,1813
293,293,1802
294,294,1787
295,295,1774
296,296,1762
297,297,1749
298,298,1736
299,299,1723
300,300,1708
301,301,1698
302,302,1684
303,303,1672
304,304,1657
305,305,1645
306,306,1631
307,307,1618
308,308,1607
309,309,1592
310,310,1581
311,311,1568
312,312,1557
313,313,1545
314,314,1534
315,315,1522
316,316,1510
317,317,1497
318,318,1485
319,319,1474
320,320,1464
321,321,1449
322,322,1441
323,323,1429
324,324,1414
325,325,1403
326,326,1391
327,327,1379
328,328,1367
329,329,1357
330,330,1345
331,331,1335
332,332,1322
333,333,1312
334,334,1299
335,335,1291
336,336,1279
337,337,1267
338,338,1253
339,339,1242
340,340,1233
341,341,1221
342,342,1211
343,343,1202
344,344,1189
345,345,1181
346,346,1170
347,347,1160
348,348,1148
349,349,1138
350,350,1128
351,351,1118
352,352,1109
353,353,1098
354,354,1090
355,355,1079
356,356,1070
357,357,1061
358,358,1051
359,359,1042
360,360,1034
361,361,1025
362,362,1017
363,363,1011
364,364,1001
365,365,992
366,366,984
367,367,975
368,368,968
369,369,960
370,370,952
371,371,943
372,372,934
373,373,926
374,374,918
375,375,908
376,376,900
