step,time,alive
0,0,7904
1,1,7891
2,2,7872
3,3,7851
4,4,7824
5,5,7803
6,6,7772
7,7,7744
8,8,7715
9,9,7686
10,10,7657
11,11,7630
12,12,7604
13,13,7577
14,14,7550
15,15,7522
16,16,7488
17,17,7459
18,18,7426
19,19,7395
20,20,7363
21,21,7332
22,22,7303
23,23,7270
24,24,7239
25,25,7205
26,26,7167
27,27,7137
28,28,7102
29,29,7069
30,30,7035
31,31,6998
32,32,6964
33,33,6932
34,34,6892
35,35,6861
36,36,6830
37,37,6796
38,38,6759
39,39,6727
40,40,6694
41,41,6664
42,42,6628
43,43,6592
44,44,6564
45,45,6527
46,46,6494
47,47,6461
48,48,6432
49,49,6397
50,50,6365
51,51,6331
52,52,6296
53,53,6266
54,54,6234
55,55,6205
56,56,6176
57,57,6143
58,58,6113
59,59,6086
60,60,6060
61,61,6028
62,62,5997
63,63,5966
64,64,5935
65,65,5906
66,66,5875
67,67,5844
68,68,5814
69,69,5785
70,70,5755
71,71,5729
72,72,5697
73,73,5670
74,74,5639
75,75,5611
76,76,5580
77,77,5555
78,78,5526
79,79,5497
80,80,5469
81,81,5441
82,82,5413
83,83,5384
84,84,5355
85,85,5324
86,86,5296
87,87,5271
88,88,5244
89,89,5212
90,90,5183
91,91,5160
92,92,5128
93,93,5099
94,94,5073
95,95,5042
96,96,5014
97,97,4987
98,98,4960
99,99,4927
100,100,4902
101,101,4875
102,102,4843
103,103,4814
104,104,4788
105,105,4760
106,106,4724
107,107,4700
108,108,4673
109,109,4641
110,110,4615
111,111,4585
112,112,4557
113,113,4534
114,114,4502
115,115,4476
116,116,4447
117,117,4417
118,118,4390
119,119,4363
120,120,4336
121,121,4306
122,122,4279
123,123,4248
124,124,4224
125,125,4195
126,126,4170
127,127,4143
128,128,4116
129,129,4088
130,130,4062
131,131,4034
132,132,4004
133,133,3980
134,134,3952
135,135,3923
136,136,3894
137,137,3867
138,138,3842
139,139,3814
140,140,3785
141,141,3760
142,142,3732
143,143,3707
144,144,3679
145,145,3658
146,146,3628
147,147,3601
148,148,3580
149,149,3555
150,150,3528
151,151,3499
152,152,3476
153,153,3453
154,154,3427
155,155,3400
156,156,3377
157,157,3353
158,158,3325
159,159,3302
160,160,3276
161,161,3251
162,162,3223
163,163,3197
164,164,3173
165,165,3149
166,166,3122
167,167,3098
168,168,3073
169,169,3046
170,170,3023
171,171,3000
172,172,2973
173,173,2954
174,174,2929
175,175,2909
176,176,2886
177,177,2865
178,178,2842
179,179,2820
180,180,2797
181,181,2779
182,182,2755
183,183,2733
184,184,2713
185,185,2692
186,186,2671
187,187,2649
188,188,2628
189,189,2608
190,190,2585
191,191,2566
192,192,2545
193,193,2527
194,194,2506
195,195,2483
196,196,2463
197,197,2442
198,198,2419
199,199,2398
200,200,2381
201,201,2357
202,202,2338
203,203,2316
204,204,2296
205,205,2274
206,206,2255
207,207,2234
208,208,2213
209,209,2196
210,210,2174
211,211,2156
212,212,2136
213,213,2114
214,214,2094
215,215,2076
216,216,2057
217,217,2038
218,218,2016
219,219,1998
220,220,1979
221,221,1960
222,222,1941
223,223,1919
224,224,1902
225,225,1883
226,226,1866
227,227,1847
228,228,1829
229,229,1809
230,230,1792
231,231,1776
232,232,1756
233,233,1740
234,234,1721
235,235,1704
236,236,1686
237,237,1666
238,238,1651
239,239,1634
240,240,1618
241,241,1600
242,242,1582
243,243,1564
244,244,1548
245,245,1529
246,246,1515
247,247,1495
248,248,1482
249,249,1465
250,250,1448
251,251,1433
252,252,1413
253,253,1398
254,254,1384
255,255,1366
256,256,1348
257,257,1334
258,258,1316
259,259,1301
260,260,1285
261,261,1271
262,262,1256
263,263,1239
264,264,1224
265,265,1210
266,266,1193
267,267,1179
268,268,1165
269,269,1148
270,270,1132
271,271,1119
272,272,1103
273,273,1086
274,274,1072
275,275,1060
276,276,1047
277,277,1033
278,278,1019
279,279,1009
280,280,995
281,281,981
282,282,970
283,283,957
284,284,942
285,285,930
286,286,916
287,287,905
288,288,893
289,289,880
290,290,869
291,291,855
292,292,844
293,293,835
294,294,822
295,295,808
296,296,795
297,297,782
298,298,771
299,299,760
300,300,747
301,301,735
302,302,725
303,303,712
304,304,702
305,305,691
306,306,681
307,307,672
308,308,663
309,309,654
310,310,643
311,311,632
312,312,623
313,313,614
314,314,603
315,315,590
316,316,581
317,317,571
318,318,561
319,319,550
320,320,540
321,321,530
322,322,519
323,323,508
324,324,498
325,325,487
326,326,477
327,327,468
328,328,457
329,329,447
330,330,437
331,331,429
332,332,424
333,333,416
334,334,409
335,335,404
336,335.5,400
