step,time,alive
0,0,7904
1,1,7891
2,2,7872
3,3,7851
4,4,7824
5,5,7803
6,6,7772
7,7,7744
8,8,7715
9,9,7686
10,10,7657
11,11,7630
12,12,7604
13,13,7577
14,14,7550
15,15,7522
16,16,7490
17,17,7459
18,18,7426
19,19,7395
20,20,7363
21,21,7332
22,22,7303
23,23,7270
24,24,7239
25,25,7205
26,26,7167
27,27,7137
28,28,7102
29,29,7069
30,30,7036
31,31,6998
32,32,6963
33,33,6932
34,34,6891
35,35,6860
36,36,6828
37,37,6795
38,38,6760
39,39,6724
40,40,6693
41,41,6659
42,42,6628
43,43,6593
44,44,6560
45,45,6526
46,46,6492
47,47,6461
48,48,6431
49,49,6396
50,50,6366
51,51,6334
52,52,6297
53,53,6266
54,54,6235
55,55,6205
56,56,6176
57,57,6145
58,58,6119
59,59,6086
60,60,6063
61,61,6034
62,62,5999
63,63,5970
64,64,5941
65,65,5912
66,66,5878
67,67,5849
68,68,5822
69,69,5789
70,70,5764
71,71,5736
72,72,5702
73,73,5672
74,74,5646
75,75,5615
76,76,5584
77,77,5555
78,78,5527
79,79,5499
80,80,5467
81,81,5441
82,82,5415
83,83,5384
84,84,5356
85,85,5327
86,86,5299
87,87,5270
88,88,5242
89,89,5215
90,90,5186
91,91,5158
92,92,5128
93,93,5101
94,94,5072
95,95,5044
96,96,5015
97,97,4990
98,98,4958
99,99,4932
100,100,4903
101,101,4873
102,102,4842
103,103,4815
104,104,4786
105,105,4756
106,106,4730
107,107,4700
108,108,4673
109,109,4648
110,110,4616
111,111,4588
112,112,4560
113,113,4529
114,114,4500
115,115,4474
116,116,4445
117,117,4423
118,118,4391
119,119,4361
120,120,4331
121,121,4300
122,122,4276
123,123,4240
124,124,4219
125,125,4190
126,126,4162
127,127,4136
128,128,4108
129,129,4077
130,130,4049
131,131,4022
132,132,3992
133,133,3965
134,134,3941
135,135,3911
136,136,3882
137,137,3854
138,138,3825
139,139,3802
140,140,3772
141,141,3743
142,142,3716
143,143,3688
144,144,3661
145,145,3634
146,146,3611
147,147,3585
148,148,3559
149,149,3534
150,150,3508
151,151,3486
152,152,3458
153,153,3436
154,154,3409
155,155,3384
156,156,3359
157,157,3334
158,158,3308
159,159,3280
160,160,3259
161,161,3232
162,162,3213
163,163,3185
164,164,3158
165,165,3134
166,166,3109
167,167,3088
168,168,3062
169,169,3035
170,170,3010
171,171,2989
172,172,2963
173,173,2940
174,174,2919
175,175,2896
176,176,2877
177,177,2852
178,178,2829
179,179,2808
180,180,2787
181,181,2766
182,182,2745
183,183,2724
184,184,2701
185,185,2678
186,186,2658
187,187,2637
188,188,2617
189,189,2595
190,190,2575
191,191,2552
192,192,2532
193,193,2509
194,194,2492
195,195,2469
196,196,2449
197,197,2427
198,198,2408
199,199,2386
200,200,2366
201,201,2346
202,202,2324
203,203,2304
204,204,2284
205,205,2265
206,206,2246
207,207,2222
208,208,2203
209,209,2183
210,210,2163
211,211,2140
212,212,2123
213,213,2104
214,214,2081
215,215,2065
216,216,2043
217,217,2024
218,218,2006
219,219,1986
220,220,1968
221,221,1948
222,222,1927
223,223,1908
224,224,1888
225,225,1868
226,226,1849
227,227,1832
228,228,1812
229,229,1794
230,230,1775
231,231,1760
232,232,1743
233,233,1725
234,234,1704
235,235,1689
236,236,1669
237,237,1653
238,238,1636
239,239,1621
240,240,1603
241,241,1590
242,242,1570
243,243,1556
244,244,1538
245,245,1520
246,246,1506
247,247,1489
248,248,1473
249,249,1457
250,250,1442
251,251,1424
252,252,1410
253,253,1390
254,254,1375
255,255,1359
256,256,1341
257,257,1327
258,258,1310
259,259,1295
260,260,1280
261,261,1263
262,262,1246
263,263,1232
264,264,1217
265,265,1203
266,266,1187
267,267,1174
268,268,1159
269,269,1142
270,270,1129
271,271,1116
272,272,1099
273,273,1087
274,274,1072
275,275,1062
276,276,1049
277,277,1036
278,278,1022
279,279,1009
280,280,994
281,281,983
282,282,968
283,283,955
284,284,942
285,285,931
286,286,916
287,287,905
288,288,893
289,289,881
290,290,868
291,291,856
292,292,844
293,293,833
294,294,820
295,295,810
296,296,796
297,297,785
298,298,773
299,299,758
300,300,746
301,301,734
302,302,724
303,303,709
304,304,699
305,305,687
306,306,677
307,307,666
308,308,657
309,309,646
310,310,638
311,311,628
312,312,617
313,313,608
314,314,598
315,315,586
316,316,578
317,317,568
318,318,556
319,319,547
320,320,538
321,321,528
322,322,516
323,323,505
324,324,497
325,325,487
326,326,477
327,327,469
328,328,458
329,329,450
330,330,444
331,331,437
332,332,429
333,333,424
334,334,419
335,335,414
336,336,406
337,337,401
338,337.1,400
