ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,163.101,136.882,202.264,305.852,249.344,185.25,0,85.5515,77.5492,1.90646
2,146,167.395,308.744,680.888,312.277,818.105,0,104.622,41.3778,1.3955
3,31.3001,33.2975,146.764,660.143,149.694,693.199,0,20.8109,10.4892,1.50402
4,4.8,3.18411,603.198,811.794,606.021,812.762,0,1.99007,2.80993,2.41197
5,198.803,206.304,485.858,439.588,615.621,540.272,0,128.94,69.8629,1.54182
6,32.1001,39.6245,177.228,672.555,149.864,693.209,0,24.7653,7.33478,1.29617
7,58.2997,66.2742,562.248,782.831,611.128,755.241,0,41.4214,16.8783,1.40748
8,7.79999,7.68617,360.535,180.118,355.816,174.11,0,4.80386,2.99614,1.62369
9,18.5,21.4617,260.058,203.659,252.457,184.031,0,13.4136,5.08648,1.3792
10,90.5992,93.5547,365.973,200.914,349.651,174.623,0,58.4717,32.1275,1.54945
11,131.199,152.355,527.329,177.611,647.725,191.735,0,95.222,35.9768,1.37782
12,35.9,44.3544,599.321,320.547,630.364,334.071,0,27.7215,8.17855,1.29503
13,24.5001,31.8463,175.361,624.853,144.799,616.245,0,19.904,4.59609,1.23091
14,54.9997,48.8812,115.22,399.661,67.6627,405.614,0,30.5507,24.449,1.80028
15,258.807,168.256,503.955,200.292,356.322,173.237,0,105.16,153.647,2.46108
16,27.5001,29.0467,253.562,213.464,249.885,185.095,0,18.1542,9.34586,1.5148
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15.2,18.4653,404.915,96.4033,405.894,78.2007,0,11.5408,3.65922,1.31707
19,98.6991,95.2139,168.288,534.019,139.542,611.174,0,59.5087,39.1904,1.65857
20,79.8994,83.4622,557.847,352.917,630.336,334.05,0,52.1639,27.7355,1.5317
21,115.099,139.713,531.258,188.603,648.156,190.911,0,87.3206,27.7782,1.31812
22,160.401,156.47,320.564,305.96,251.372,184.502,0,97.7939,62.6067,1.64019
23,324.511,241.447,423.164,613.997,613.337,612.535,0,150.904,173.607,2.15044
24,107.799,108.004,558.957,376.819,630.388,334.465,0,67.5027,40.2962,1.59696
25,140.799,182.108,482.236,698.3,612.179,752.571,0,113.817,26.982,1.23706
26,132.499,115.431,257.389,632.895,144.647,615.729,0,72.1445,60.3544,1.83658
27,202.403,229.817,496.358,505.548,615.469,540.248,0,143.636,58.7676,1.40914
28,6,5.86224,605.919,752.248,611.575,753.791,0,3.6639,2.3361,1.6376
29,27.8001,30.4341,572.31,832.479,602.4,833.323,0,19.0213,8.77874,1.46152
30,156.8,130.244,510.94,653.921,613.204,612.578,0,81.4023,75.3981,1.92624
31,47.3998,61.728,596.22,229.778,648.213,197.967,0,38.58,8.81984,1.22861
32,280.208,224.49,393.289,338.21,349.67,174.727,0,140.306,139.902,1.99712
33,138.399,135.978,531.456,147.664,653.555,130.397,0,84.986,53.4133,1.6285
34,160.001,142.544,277.441,644.519,144.68,616.318,0,89.09,70.9105,1.79594
35,152.9,134.972,298.569,295.744,250.391,184.884,0,84.3574,68.5427,1.81253
36,128.999,124.342,276.222,297.235,250.287,184.903,0,77.714,51.2847,1.65992
37,92.2992,88.2164,439.351,179,355.624,174.37,0,55.1352,37.1639,1.67405
38,237.905,202.141,476.17,399.089,630.362,334.078,0,126.338,111.567,1.88308
39,101.999,105.493,204.268,562.487,144.64,615.704,0,65.9334,36.0656,1.547
40,105.499,107.869,546.922,123.811,653.536,129.951,0,67.4178,38.0811,1.56485
41,46.6999,58.1865,193.333,679.733,149.579,693.228,0,36.3665,10.3333,1.28414
42,227.305,187.188,498.021,539.339,613.286,612.458,0,116.993,110.312,1.94289
43,269.707,216.431,478.994,414.088,630.325,334.07,0,135.27,134.438,1.99385
44,253.206,182.934,213.373,438.762,67.6783,405.553,0,114.334,138.873,2.21463
45,17.2,19.246,151.972,674.273,149.646,693.185,0,12.0287,5.17131,1.42991
46,117.499,87.8119,541.832,635.338,613.192,612.915,0,54.8824,62.6164,2.14092
47,334.411,244.255,448.727,480.204,602.413,525.46,1,152.66,181.752,2.19057
48,229.605,224.897,352.225,360.52,349.743,174.667,0,140.561,89.0442,1.63349
49,130.799,130.101,536.159,152.806,653.551,130.099,0,81.3131,49.4856,1.60858
50,254.706,208.686,248.069,416.615,67.687,404.83,0,130.429,124.277,1.95283
51,144.7,141.897,265.274,657.145,144.762,616.163,0,88.6856,56.014,1.6316
52,270.407,215.796,243.776,426.354,67.6659,405.623,0,134.873,135.535,2.00491
53,73.3995,81.667,583.226,187.694,648.291,190.864,0,51.0419,22.3576,1.43802
54,324.711,269.392,425.143,434.932,615.456,540.073,0,168.37,156.341,1.92855
55,46.7999,57.8039,554.379,758.105,611.149,754.952,0,36.1275,10.6724,1.29541
56,334.411,275.003,409.814,442.512,606.569,539.32,1,171.877,162.534,1.94564
57,162.601,139.752,293.245,300.333,250.439,184.918,0,87.3451,75.2557,1.86159
58,113.899,123.556,534.918,131.305,653.511,129.951,0,77.2223,36.6765,1.47495
59,65.3996,65.032,589.296,661.625,613.2,612.845,0,40.645,24.7546,1.60904
60,245.206,187.281,254.412,354.048,249.247,185.127,0,117.051,128.155,2.09487
61,138.999,183.148,534.368,303.723,648.045,197.959,0,114.468,24.5315,1.21431
62,224.004,215.181,394.19,329.316,349.744,174.663,0,134.488,89.5161,1.6656
63,114.899,148.184,316.218,694.286,312.258,818.059,0,92.6149,22.2839,1.24061
64,6.4,7.00098,623.427,333.286,630.258,334.053,0,4.37561,2.02438,1.46265
65,123.799,167.702,533.965,288.049,648.078,197.999,0,104.814,18.9847,1.18113
66,198.703,206.629,253.598,501.43,140.112,611.107,0,129.143,69.5598,1.53863
67,101.199,116.443,362.946,234.946,349.834,174.737,0,72.7767,28.4223,1.39054
68,88.0992,116.229,320.509,712.769,312.417,818.119,0,72.6433,15.4559,1.21276
69,94.6991,122.859,351.188,703.579,312.727,818,0,76.7871,17.9121,1.23327
70,271.907,243.779,313.453,375.917,249.386,185.196,0,152.362,119.545,1.78461
71,327.511,322.291,389.963,442.229,349.874,174.842,0,201.432,126.079,1.62591
72,94.4991,119.643,583.294,278.677,648.11,198.016,0,74.7772,19.7219,1.26374
73,306.109,220.679,469.974,370.553,630.375,334.061,0,137.924,168.185,2.2194
74,250.306,205.423,278.878,372.073,250.005,184.984,0,128.39,121.917,1.94958
75,334.411,228.489,419.109,506.4,581.821,458.945,1,142.805,191.606,2.34173
76,98.6991,98.2759,264.427,280.216,249.988,185.021,0,61.4224,37.2766,1.60689
77,334.411,222.696,444.894,487.243,596.186,498.442,1,139.185,195.226,2.40264
78,91.3992,100.486,241.075,626.022,144.815,615.97,0,62.8036,28.5955,1.45532
79,17.7,19.0382,595.573,614.719,613.162,612.986,0,11.8989,5.80113,1.48753
80,334.411,273.612,580.665,537.511,574.488,545.468,1,171.008,163.404,1.95553
81,119.399,135.05,313.409,283.318,250.557,184.775,0,84.406,34.9928,1.41458
82,286.708,280.17,357.058,556.778,144.679,615.608,0,175.106,111.602,1.63734
83,234.405,200.105,500.875,576.73,613.318,612.408,0,125.065,109.34,1.87426
84,149.1,130.365,211.434,306.944,248.064,184.743,0,81.4783,67.6216,1.82993
85,112.599,110.302,306.952,248.128,350.101,174.768,0,68.9385,43.6603,1.63332
86,72.5995,79.0325,357.256,195.594,349.734,174.743,0,49.3953,23.2042,1.46976
87,91.9992,88.7225,572.956,674.689,613.294,613.102,0,55.4515,36.5476,1.65909
88,52.6998,59.3869,569.849,780.52,611.152,755.251,0,37.1168,15.583,1.41984
89,97.1991,115.036,573.006,442.172,615.599,540.279,0,71.8974,25.3017,1.35191
90,89.1992,109.539,87.8419,472.994,67.7787,405.249,0,68.4618,20.7374,1.30291
91,178.002,153.691,205.337,317.948,248.156,184.728,0,96.0572,81.9445,1.85308
92,88.6992,92.4675,304.247,230.096,349.812,174.742,0,57.7922,30.907,1.5348
93,208.904,212.41,378.924,342.867,349.671,174.733,0,132.756,76.1476,1.57359
94,0,0,405.617,73.7946,405.617,73.7946,0,0,0,0
95,62.7996,73.6765,591.442,192.463,647.758,197.625,0,46.0478,16.7518,1.36379
96,226.405,190.334,476.31,550.698,613.237,612.566,0,118.959,107.446,1.90322
97,89.1992,110.37,575.623,446.331,615.658,540.381,0,68.9811,20.2181,1.2931
98,152.8,113.585,225.091,294.28,248.574,184.945,0,70.9907,81.8094,2.1524
99,159.701,207.503,513.567,259.651,648.06,198.044,0,129.69,30.011,1.23141
100,334.411,217.45,388.698,517.112,534.517,443.858,1,135.906,198.505,2.4606
101,117.799,108.268,423.227,233.179,356.296,173.199,0,67.6673,50.1315,1.74085
102,82.3993,102.558,541.376,495.618,615.598,540.446,0,64.0989,18.3004,1.2855
103,324.111,270.281,422.903,403.148,630.336,334.143,0,168.925,155.185,1.91866
104,18.6,23.9562,167.696,623.023,144.731,616.227,0,14.9726,3.6274,1.24227
105,241.206,168.797,489.801,638.685,613.297,613.189,0,105.498,135.707,2.28634
106,278.108,189.063,450.996,638.712,613.317,613.088,0,118.164,159.944,2.35357
107,168.001,143.584,272.1,617.498,144.803,616.147,0,89.7398,78.2613,1.87209
108,21.7,19.6569,87.0148,409.776,67.8311,405.023,0,12.2856,9.41447,1.7663
109,45.6999,48.3726,605.797,133.528,653.559,130.04,0,30.2329,15.467,1.5116
110,334.411,232.461,449.268,487.402,596.211,506.857,1,145.288,189.123,2.30171
111,53.5998,67.2005,190.423,591.315,144.65,616.234,0,42.0003,11.5994,1.27617
112,33.1001,30.1044,232.799,205.022,249.098,185.126,0,18.8153,14.2848,1.75921
113,85.7993,101.835,244.592,631.142,144.815,616.005,0,63.6468,22.1525,1.34805
114,35.7,45.3,612.423,192.95,648.193,197.981,0,28.3125,7.3875,1.26093
115,199.303,217.974,385.039,645.766,312.261,818.056,0,136.233,63.0695,1.46295
116,79.5994,77.3359,268.716,258.645,249.288,185.215,0,48.3349,31.2644,1.64683
117,334.411,246.81,442.832,497.419,596.987,509.072,1,154.257,180.155,2.16789
118,152,146.836,277.107,648.449,144.762,616.239,0,91.7727,60.2273,1.65627
119,136.199,140.458,233.61,775.701,152.762,701.733,0,87.7859,48.4132,1.55149
120,143,184.49,534.131,305.375,648.056,198.013,0,115.306,27.6934,1.24017
121,113.599,128.968,525.75,706.958,612.253,752.297,0,80.6049,32.994,1.40933
122,74.1994,76.9304,188.981,211.898,248.578,184.919,0,48.0815,26.1179,1.5432
123,75.3994,99.826,330.408,721.932,312.764,817.956,0,62.3913,13.0082,1.20849
124,0,0,619.765,613.058,619.765,613.058,0,0,0,0
125,22.9001,28.0607,159.186,600.817,144.526,616.443,0,17.538,5.36208,1.30574
126,122.399,116.409,126.777,515.013,139.702,611.063,0,72.7556,49.6431,1.68233
127,94.1991,111.518,574.102,444.642,615.463,540.137,0,69.6985,24.5006,1.35152
128,188.402,133.439,162.426,440.662,67.7071,405.572,0,83.3995,105.003,2.25903
129,173.601,139.093,203.959,403.934,67.6728,405.6,0,86.9328,86.6686,1.99696
130,124.799,123.471,514.607,337.044,630.351,333.746,0,77.1696,47.6291,1.6172
131,222.004,172.445,244.062,343.776,249.825,185.086,0,107.778,114.226,2.05982
132,239.205,181.244,244.764,350.141,248.727,184.898,0,113.277,125.928,2.11168
133,303.009,282.008,405.087,395.816,349.585,174.637,0,176.255,126.754,1.71915
134,22,26.2276,145.54,642.325,139.915,620.816,0,16.3922,5.60781,1.3421
135,51.7998,64.6273,550.927,752.932,611.125,755.243,0,40.3921,11.4077,1.28242
136,3.9,3.14687,138.044,608.386,139.005,611.383,0,1.9668,1.9332,1.98292
137,55.2997,65.9418,593.826,199.696,647.895,197.811,0,41.2136,14.0861,1.34178
138,48.8998,51.3247,613.206,146.39,653.453,130.038,0,32.078,16.8219,1.52441
139,75.4994,77.0467,230.742,258.287,249.679,185.23,0,48.1542,27.3452,1.56787
140,296.609,253.119,443.355,437.553,615.61,540.35,0,158.199,138.41,1.87491
141,0,0,248.686,175.68,248.686,175.68,0,0,0,0
142,92.2992,76.7453,423.08,157.795,356.144,173.436,0,47.9658,44.3334,1.92427
143,50.7998,64.2705,550.767,753.698,611.102,755.257,0,40.1691,10.6307,1.26465
144,69.9995,78.6704,173.864,561.139,139.724,611.055,0,49.169,20.8305,1.42365
145,61.9996,73.9739,347.593,201.123,349.741,174.698,0,46.2337,15.7659,1.341
146,149.2,147.317,517.411,136.785,653.545,129.789,0,92.073,57.1269,1.62045
147,216.004,289.916,377.964,572.706,312.699,817.983,0,181.197,34.8066,1.19209
148,216.504,171.469,173.634,301.568,248.102,184.718,0,107.168,109.336,2.02023
149,334.411,232.575,399.08,508.217,568.264,450.151,1,145.359,189.052,2.30058
150,58.7997,53.0242,119.133,398.95,67.7092,405.608,0,33.1401,25.6596,1.77428
151,115.899,110.197,428.823,228.007,356.158,173.405,0,68.8732,47.0256,1.68278
152,273.007,265.896,295.221,411.203,249.453,185.188,0,166.185,106.823,1.6428
153,25.0001,23.5418,262.539,204.213,252.324,184.007,0,14.7136,10.2865,1.69911
154,78.9994,80.1636,358.652,195.365,349.736,174.71,0,50.1023,28.8971,1.57676
155,184.102,189.625,386.157,301.796,349.47,174.51,0,118.516,65.5864,1.5534
156,164.201,164.251,492.259,114.817,653.629,130.304,0,102.657,61.5437,1.59951
157,284.808,218.036,256.427,421.573,67.746,404.803,0,136.273,148.536,2.08999
158,161.201,118.621,197.96,258.543,247.958,184.569,0,74.1384,87.0623,2.17432
159,245.006,331.943,397.501,589.543,312.647,817.991,0,207.464,37.5413,1.18095
160,326.711,257.508,407.248,615,613.323,612.522,0,160.942,165.768,2.02999
161,293.009,279.57,358.31,419.067,349.82,174.705,0,174.731,118.277,1.67691
162,142.299,107.782,233.032,288.859,249.085,185.09,0,67.3641,74.9354,2.11239
163,164.001,126.311,549.703,563.813,613.296,612.437,0,78.9444,85.0564,2.07742
164,239.705,223.427,259.151,422.771,67.6985,404.904,0,139.642,100.063,1.71657
