ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,161.501,136.968,202.264,305.852,249.081,185.126,0,85.6049,75.8958,1.88658
2,145.7,167.854,308.744,680.888,312.254,818.23,0,104.909,40.7909,1.38882
3,31.3001,33.2994,146.764,660.143,149.689,693.201,0,20.8121,10.4879,1.50393
4,4.8,3.18411,603.198,811.794,606.021,812.762,0,1.99007,2.80993,2.41197
5,214.004,206.818,485.858,439.588,615.585,539.658,0,129.261,84.7427,1.65559
6,32.1001,39.6264,177.228,672.555,149.864,693.211,0,24.7665,7.33358,1.29611
7,58.2997,66.2655,562.248,782.831,611.121,755.254,0,41.416,16.8837,1.40766
8,7.79999,7.68617,360.535,180.118,355.816,174.11,0,4.80386,2.99614,1.62369
9,18.5,21.4609,260.058,203.659,252.457,184.032,0,13.413,5.08698,1.37926
10,93.4991,93.9712,365.973,200.914,349.689,174.64,0,58.732,34.7672,1.59196
11,136.699,154.716,527.329,177.611,647.729,191.87,0,96.6977,40.0014,1.41367
12,35.9,44.3548,599.321,320.547,630.365,334.07,0,27.7218,8.17827,1.29501
13,24.5001,31.8462,175.361,624.853,144.799,616.245,0,19.9039,4.59618,1.23092
14,55.0997,48.7926,115.22,399.661,67.7099,405.606,0,30.4954,24.6043,1.80682
15,222.004,170.342,503.955,200.292,356.073,173.447,0,106.464,115.541,2.08526
16,27.5001,29.0669,253.562,213.464,249.874,185.077,0,18.1668,9.33329,1.51376
17,0,0,621.536,612.772,621.536,612.772,0,0,0,0
18,15.2,18.4653,404.915,96.4033,405.894,78.2007,0,11.5408,3.65922,1.31707
19,97.9991,95.1744,168.288,534.019,139.656,611.157,0,59.484,38.5151,1.64749
20,78.7994,83.9648,557.847,352.917,630.288,334.067,0,52.478,26.3214,1.50157
21,114.499,139.424,531.258,188.603,648.158,190.981,0,87.14,27.3588,1.31396
22,141.599,155.026,320.564,305.96,251.437,184.453,0,96.8911,44.7084,1.46143
23,335.611,229.336,423.164,613.997,597.315,613.68,1,143.335,192.277,2.34145
24,107.899,106.667,558.957,376.819,630.27,333.906,0,66.6671,41.2318,1.61847
25,141.399,182.159,482.236,698.3,612.207,752.383,0,113.849,27.5499,1.24199
26,133.299,115.443,257.389,632.895,144.749,615.742,0,72.1518,61.1471,1.84748
27,210.904,227.385,496.358,505.548,615.599,539.581,0,142.115,68.7883,1.48403
28,6,5.86224,605.919,752.248,611.575,753.791,0,3.6639,2.3361,1.6376
29,27.8001,30.4442,572.31,832.479,602.41,833.332,0,19.0276,8.77244,1.46104
30,176.002,129.724,510.94,653.921,613.253,613.175,0,81.0777,94.9239,2.17078
31,47.3998,61.6691,596.22,229.778,648.197,198.036,0,38.5432,8.85664,1.22978
32,262.307,220.18,393.289,338.21,349.69,174.74,0,137.613,124.694,1.90612
33,137.699,135.597,531.456,147.664,653.543,130.101,0,84.7484,52.9509,1.6248
34,158.3,142.178,277.441,644.519,144.804,615.99,0,88.8614,69.439,1.78143
35,144.3,135.64,298.569,295.744,251.133,184.602,0,84.7751,59.5245,1.70215
36,129.899,124.74,276.222,297.235,250.216,185.03,0,77.9627,51.936,1.66616
37,92.2992,88.433,439.351,179,355.596,174.315,0,55.2706,37.0285,1.66995
38,239.305,201.59,476.17,399.089,630.293,334.122,0,125.993,113.312,1.89935
39,105.799,107.521,204.268,562.487,144.667,615.688,0,67.2007,38.5982,1.57437
40,105.499,107.823,546.922,123.811,653.543,129.951,0,67.3896,38.1093,1.56551
