scenario,seed,crowd,stopped_generation,sim_calls,zero_fitness,best_fitness,objective_improvement_pct,zero_evac,best_evac,evac_improvement_pct,best_cost,jaccard_vs_base,selected_segments,best_widths_text,wall_seconds
base,11,50000,8,39,1433.2866923232732,1273.2067258845211,11.168733184794446,1433.2866923232732,1198.4547258845212,16.384158709944014,747.5200000000001,1.0,"[3, 11, 14]","[0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0]",806.3053071498871
base,29,50000,11,55,1433.187482276686,1272.8576247645665,11.186942357145629,1433.187482276686,1197.2636247645664,16.461479075811035,755.94,1.0,"[3, 9, 14]","[0,0,4,0,0,0,0,0,2,0,0,0,0,4,0,0]",1141.9287736415863
k050,11,50000,8,37,2175.905418270205,2068.5958058002716,4.9317222876002536,2175.905418270205,1988.8568058002716,8.596357677101269,797.3900000000001,0.6,"[3, 9, 11, 13, 14]","[0,0,2,0,0,0,0,0,2,0,4,0,2,4,0,0]",1189.9375967979431
k050,29,50000,10,48,2174.2490277496454,2068.5472710573745,4.861529445027397,2174.2490277496454,1988.8082710573747,8.528956634015493,797.3900000000001,0.75,"[3, 9, 13, 14]","[0,0,2,0,0,0,0,0,2,0,0,0,2,4,0,0]",1530.3848638534546
k200,11,50000,8,39,969.082894470326,882.8547300159994,8.897914197676197,969.082894470326,808.1027300159993,16.61159900488327,747.5200000000001,1.0,"[3, 11, 14]","[0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0]",611.4473538398743
k200,29,50000,8,39,971.5156674093579,881.859746744172,9.228458549130995,971.5156674093579,826.247746744172,14.952710032207417,556.1200000000001,0.75,"[3, 9, 11, 14]","[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]",595.318531036377
h180,11,50000,8,39,1018.9821652825603,983.3092636866303,3.5008366987500787,1018.9821652825603,927.6972636866303,8.95843957883375,556.1200000000001,0.75,"[3, 9, 11, 14]","[0,0,2,0,0,0,0,0,2,0,4,0,0,4,0,0]",572.1239275932312
h180,29,50000,11,53,1021.4935082033624,981.0605839223867,3.9582164699304276,1021.4935082033624,926.2905839223868,9.319973501194516,547.7,0.6666666666666666,"[3, 14]","[0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0]",765.0537810325623
h300,11,50000,8,38,1884.7879582742555,1684.1129777831782,10.647085238958066,1884.7879582742555,1609.3609777831782,14.613154720240415,747.5200000000001,1.0,"[3, 11, 14]","[0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0]",873.5544610023499
h300,29,50000,8,41,1888.2980960097225,1686.562355712174,10.683468924946151,1888.2980960097225,1610.968355712174,14.686756338079826,755.94,0.75,"[3, 9, 11, 14]","[0,0,4,0,0,0,0,0,2,0,2,0,0,4,0,0]",954.7153272628784
rho300,11,50000,8,37,2291.5308588211465,2016.678149514917,11.994283570225383,2291.5308588211465,1961.066149514917,14.421132843754656,556.1200000000001,0.75,"[3, 9, 11, 14]","[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]",1146.493424654007
rho300,29,50000,8,41,2290.5006279116874,2024.0216181217977,11.634094596727788,2290.5006279116874,1948.4276181217977,14.934421131408602,755.94,0.75,"[3, 9, 11, 14]","[0,0,4,0,0,0,0,0,2,0,2,0,0,4,0,0]",1281.7586205005646
rho500,11,50000,8,38,1101.5929106744986,1003.149773681972,8.936435232889302,1101.5929106744986,947.537773681972,13.984761112723538,556.1200000000001,0.75,"[3, 9, 11, 14]","[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]",659.789755821228
rho500,29,50000,8,39,1102.6961717642293,1003.1134177789479,9.030842451004132,1102.6961717642293,947.5014177789479,14.07411741867043,556.1200000000001,0.75,"[3, 9, 11, 14]","[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]",713.5201003551483
