tag,family,pop,cx,mut,seed,final_best,conv_gen,best_evac,best_cost,n_eval
base_s1,baseline,24,0.8,0.08,1,580.63,17,558.9,217.0,432
base_s2,baseline,24,0.8,0.08,2,577.83,11,559.5,183.4,432
base_s3,baseline,24,0.8,0.08,3,577.59,10,576.7,8.4,432
base_s4,baseline,24,0.8,0.08,4,577.52,11,576.7,8.4,432
base_s5,baseline,24,0.8,0.08,5,578.25,13,560.8,175.0,432
cx06_s1,cx,24,0.6,0.08,1,577.85,11,559.5,183.4,432
cx06_s2,cx,24,0.6,0.08,2,577.64,10,576.8,8.4,432
cx095_s1,cx,24,0.95,0.08,1,578.19,15,578.2,0.0,432
cx095_s2,cx,24,0.95,0.08,2,576.65,14,558.3,183.4,432
mut04_s1,mut,24,0.8,0.04,1,576.98,8,559.5,175.0,432
mut04_s2,mut,24,0.8,0.04,2,576.6,14,558.3,183.4,432
mut16_s1,mut,24,0.8,0.16,1,579.91,17,560.7,191.7,432
mut16_s2,mut,24,0.8,0.16,2,595.28,14,561.1,342.2,432
pop12_s1,pop,12,0.8,0.08,1,578.37,14,576.7,16.8,216
pop12_s2,pop,12,0.8,0.08,2,596.46,15,554.0,424.6,216
pop40_s1,pop,40,0.8,0.08,1,577.12,9,559.6,175.0,720
pop40_s2,pop,40,0.8,0.08,2,577.85,15,559.5,183.4,720
