Segment,coef_evac,coef_cost,evac@0m,evac@2m,evac@4m,evac_range
R1,-0.1808,0.2124,1360.8,1338.8,1352.4,-8.4
R2,-0.1135,0.2112,1357.0,1345.1,1342.6,-14.4
R3,-0.4358,0.1186,1409.7,1355.5,1336.1,-73.6
R4,0.0704,0.1302,1355.3,1351.5,1359.9,4.6
R5,-0.212,0.2809,1361.4,1334.2,1356.1,-5.3
R6,0.1379,0.1924,1354.0,1362.9,1364.2,10.2
R7,-0.1819,0.1892,1358.0,1348.9,1341.3,-16.7
R8,0.1989,0.201,1354.1,1354.5,1372.9,18.8
R9,-0.0742,0.1538,1357.3,1343.1,1351.3,-6.0
R10,-0.0061,-0.0001,1359.5,1350.6,1364.0,4.5
R11,0.0923,0.1797,1355.4,1349.1,1362.5,7.1
R12,-0.2688,0.1985,1363.6,1340.9,1342.6,-21.0
R13,-0.631,0.1248,1413.6,1365.2,1347.8,-65.8
R14,-0.3504,0.2154,1362.9,1338.7,1331.4,-31.5
R15,-0.0144,0.1277,1356.7,1348.1,1354.4,-2.3
