scenario,param,perturbation_pct,value,unit,replicate,crowd,wall_s,steps,T_total,N0,N_end,person_time,metric,baseline_metric_same_replicate,pct_change_metric,elasticity
k_m20,k_postnorm,-20,0.8,dimensionless,1,8000,8.514,401,400,7904,399,1307162.0,564.879808,518.972672,8.845771362697116,-0.4422885681348558
k_m20,k_postnorm,-20,0.8,dimensionless,2,8000,8.253,402,400,7904,399,1312473.5,566.251809,519.700702,8.957291537389535,-0.4478645768694768
k_m20,k_postnorm,-20,0.8,dimensionless,3,8000,8.75,400,398,7904,400,1307530.55,563.526436,517.725,8.846672654401461,-0.44233363272007303
k_m10,k_postnorm,-10,0.9,dimensionless,1,8000,9.435,380,378,7904,400,1257231.2,537.262652,518.972672,3.524266495481291,-0.3524266495481291
k_m10,k_postnorm,-10,0.9,dimensionless,2,8000,8.288,379,378,7904,400,1262270.55,537.400221,519.700702,3.405713891069558,-0.34057138910695584
k_m10,k_postnorm,-10,0.9,dimensionless,3,8000,8.8,380,379,7904,400,1265882.2,538.757161,517.725,4.062419431165188,-0.40624194311651884
baseline,k_postnorm,0,1.0,dimensionless,1,8000,8.629,365,364,7904,398,1226484.8,518.972672,518.972672,0.0,
baseline,k_postnorm,0,1.0,dimensionless,2,8000,7.893,366,364,7904,399,1228287.15,519.700702,519.700702,0.0,
baseline,k_postnorm,0,1.0,dimensionless,3,8000,8.781,364,363,7904,400,1226108.0,517.725,517.725,0.0,
k_p10,k_postnorm,10,1.1,dimensionless,1,8000,8.817,354,352,7904,400,1196001.2,503.515941,518.972672,-2.9783323542708606,-0.29783323542708606
k_p10,k_postnorm,10,1.1,dimensionless,2,8000,7.858,353,352,7904,400,1197361.55,503.18805,519.700702,-3.1773387906641704,-0.31773387906641704
k_p10,k_postnorm,10,1.1,dimensionless,3,8000,7.688,351,350,7904,400,1193389.2,500.585476,517.725,-3.310545946206962,-0.3310545946206962
k_p20,k_postnorm,20,1.2,dimensionless,1,8000,8.074,345,344,7904,400,1171414.75,492.105307,518.972672,-5.177028859045589,-0.25885144295227946
